bank_transaction_id,account_id,transaction_timestamp,transaction_date,transaction_type,debit,credit,amount,balance_after_transaction,payment_method,counterparty_name,counterparty_type,reference_number,narration,linked_sales_invoice_id,linked_purchase_invoice_id,reconciliation_status
BNK00000012,ACC-CURRENT-001,2024-07-03T12:55:36,2024-07-03,customer_payment,0.0,2112.96,2112.96,606899.01,UPI,Customer CUS000874,retail,REF000005707,Payment received - UPI,INV-202407-007551,,matched
BNK00000013,ACC-CURRENT-001,2024-07-03T16:36:10,2024-07-03,customer_payment,0.0,4328.22,4328.22,611227.23,bank_transfer,Customer CUS000224,small_business,REF000006721,Payment received - bank_transfer,INV-202407-002843,,matched
BNK00000014,ACC-CURRENT-001,2024-07-03T17:11:15,2024-07-03,customer_payment,0.0,6389.39,6389.39,617616.62,UPI,Customer CUS000291,retail,REF000003176,Payment received - UPI,INV-202407-005964,,matched
BNK00000015,ACC-CURRENT-001,2024-07-03T18:00:05,2024-07-03,customer_payment,0.0,89741.74,89741.74,707358.36,UPI,Customer CUS000312,retail,REF000003261,Payment received - UPI,INV-202407-013414,,matched
BNK00000016,ACC-CURRENT-001,2024-07-03T19:09:00,2024-07-03,customer_payment,0.0,11899.69,11899.69,719258.05,UPI,Customer CUS000563,retail,REF000004356,Payment received - UPI,INV-202407-007304,,matched
BNK00000017,ACC-CURRENT-001,2024-07-03T19:48:18,2024-07-03,cash_deposit,0.0,3234.55,3234.55,722492.6,cash,Self (till deposit),internal,REF000000002,Daily cash till deposit,,,unmatched
BNK00000018,ACC-CURRENT-001,2024-07-03T19:53:31,2024-07-03,cash_deposit,0.0,5941.57,5941.57,728434.17,cash,Self (till deposit),internal,REF000000003,Daily cash till deposit,,,unmatched
BNK00000019,ACC-CURRENT-001,2024-07-04T09:53:48,2024-07-04,card_settlement,0.0,45284.14,45284.14,773718.31,credit_card,Payment Gateway Settlement,payment_processor,REF000000710,Card settlement batch (3 txns),,,partially_matched
BNK00000020,ACC-CURRENT-001,2024-07-04T09:53:48,2024-07-04,bank_charges,594.31,0.0,-594.31,773124.0,bank_fee,Bank,bank,REF000000711,Card MDR charges,,,matched
BNK00000021,ACC-CURRENT-001,2024-07-04T11:00:00,2024-07-04,rent,186458.12,0.0,-186458.12,586665.88,bank_transfer,Andheri Property Holdings,landlord,REF000016966,Monthly shop + warehouse rent,,,matched
BNK00000022,ACC-CURRENT-001,2024-07-04T14:11:58,2024-07-04,customer_payment,0.0,31279.06,31279.06,617944.94,bank_transfer,Customer CUS000765,small_business,REF000007822,Payment received - bank_transfer,INV-202407-005195,,matched
BNK00000023,ACC-CURRENT-001,2024-07-04T15:02:21,2024-07-04,customer_payment,0.0,20190.02,20190.02,638134.96,UPI,Customer CUS000528,small_business,REF000004213,Payment received - UPI,INV-202407-006578,,matched
BNK00000024,ACC-CURRENT-001,2024-07-04T16:08:40,2024-07-04,customer_payment,0.0,81890.35,81890.35,720025.31,UPI,Customer CUS000085,retail,REF000002281,Payment received - UPI,INV-202407-011362,,matched
BNK00000025,ACC-CURRENT-001,2024-07-04T19:35:14,2024-07-04,customer_payment,0.0,39571.82,39571.82,759597.13,UPI,Customer CUS000684,small_business,REF000004946,Payment received - UPI,INV-202407-010350,,matched
BNK00000026,ACC-CURRENT-001,2024-07-04T19:49:06,2024-07-04,cash_deposit,0.0,18285.68,18285.68,777882.81,cash,Self (till deposit),internal,REF000000004,Daily cash till deposit,,,unmatched
BNK00000027,ACC-CURRENT-001,2024-07-05T10:25:49,2024-07-05,customer_payment,0.0,423783.47,423783.47,1201666.28,bank_transfer,Customer CUS000288,small_business,REF000006900,Payment received - bank_transfer,INV-202407-003245,,matched
BNK00000028,ACC-CURRENT-001,2024-07-05T10:44:50,2024-07-05,card_settlement,0.0,28962.86,28962.86,1230629.14,credit_card,Payment Gateway Settlement,payment_processor,REF000000712,Card settlement batch (4 txns),,,partially_matched
BNK00000029,ACC-CURRENT-001,2024-07-05T10:44:50,2024-07-05,bank_charges,412.49,0.0,-412.49,1230216.65,bank_fee,Bank,bank,REF000000713,Card MDR charges,,,matched
BNK00000030,ACC-CURRENT-001,2024-07-05T11:26:34,2024-07-05,customer_payment,0.0,12281.2,12281.2,1242497.85,bank_transfer,Customer CUS000288,small_business,REF000006901,Payment received - bank_transfer,INV-202407-009316,,matched
BNK00000031,ACC-CURRENT-001,2024-07-05T11:50:17,2024-07-05,customer_payment,0.0,211912.73,211912.73,1454410.58,bank_transfer,Customer CUS000278,small_business,REF000006859,Payment received - bank_transfer,INV-202407-008633,,matched
BNK00000032,ACC-CURRENT-001,2024-07-05T12:04:33,2024-07-05,customer_payment,0.0,9062.48,9062.48,1463473.06,UPI,Customer CUS000414,small_business,REF000003716,Payment received - UPI,INV-202407-002072,,matched
BNK00000033,ACC-CURRENT-001,2024-07-05T12:43:54,2024-07-05,customer_payment,0.0,4568.15,4568.15,1468041.21,UPI,Customer CUS000932,retail,REF000006001,Payment received - UPI,INV-202407-012620,,matched
BNK00000034,ACC-CURRENT-001,2024-07-05T12:47:49,2024-07-05,customer_payment,0.0,96135.7,96135.7,1564176.91,UPI,Customer CUS000376,retail,REF000003566,Payment received - UPI,INV-202407-009162,,matched
BNK00000035,ACC-CURRENT-001,2024-07-05T15:56:52,2024-07-05,customer_payment,0.0,426.81,426.81,1564603.72,UPI,Customer CUS000545,retail,REF000004277,Payment received - UPI,INV-202407-008216,,matched
BNK00000036,ACC-CURRENT-001,2024-07-05T16:10:12,2024-07-05,customer_payment,0.0,80751.8,80751.8,1645355.52,UPI,Customer CUS000136,small_business,REF000002508,Payment received - UPI,INV-202407-002602,,matched
BNK00000037,ACC-CURRENT-001,2024-07-05T16:10:55,2024-07-05,customer_payment,0.0,2260.77,2260.77,1647616.29,UPI,Customer CUS000411,small_business,REF000003706,Payment received - UPI,INV-202407-007083,,matched
BNK00000038,ACC-CURRENT-001,2024-07-05T16:17:21,2024-07-05,customer_payment,0.0,86758.78,86758.78,1734375.07,bank_transfer,Customer CUS000821,small_business,REF000007919,Payment received - bank_transfer,INV-202407-007335,,matched
BNK00000039,ACC-CURRENT-001,2024-07-05T17:41:49,2024-07-05,customer_payment,0.0,43842.0,43842.0,1778217.07,bank_transfer,Customer CUS000866,small_business,REF000007988,Payment received - bank_transfer,INV-202407-009689,,matched
BNK00000040,ACC-CURRENT-001,2024-07-05T19:10:48,2024-07-05,customer_payment,0.0,90518.59,90518.59,1868735.66,bank_transfer,Customer CUS000474,small_business,REF000007282,Payment received - bank_transfer,INV-202407-013935,,matched
BNK00000041,ACC-CURRENT-001,2024-07-05T19:53:36,2024-07-05,cash_deposit,0.0,11716.15,11716.15,1880451.81,cash,Self (till deposit),internal,REF000000006,Daily cash till deposit,,,unmatched
BNK00000042,ACC-CURRENT-001,2024-07-05T19:59:23,2024-07-05,cash_deposit,0.0,3670.02,3670.02,1884121.83,cash,Self (till deposit),internal,REF000000005,Daily cash till deposit,,,unmatched
BNK00000043,ACC-CURRENT-001,2024-07-06T12:04:28,2024-07-06,customer_payment,0.0,1334.28,1334.28,1885456.11,UPI,Customer CUS000891,retail,REF000005788,Payment received - UPI,INV-202407-012370,,matched
BNK00000044,ACC-CURRENT-001,2024-07-06T14:38:24,2024-07-06,customer_payment,0.0,40040.09,40040.09,1925496.2,bank_transfer,Customer CUS000591,small_business,REF000007563,Payment received - bank_transfer,INV-202407-000924,,matched
BNK00000045,ACC-CURRENT-001,2024-07-06T14:59:11,2024-07-06,customer_payment,0.0,6277.45,6277.45,1931773.65,UPI,Customer CUS000432,retail,REF000003826,Payment received - UPI,INV-202407-006496,,matched
BNK00000046,ACC-CURRENT-001,2024-07-07T10:01:12,2024-07-07,customer_payment,0.0,5842.86,5842.86,1937616.51,UPI,Customer CUS000459,retail,REF000003922,Payment received - UPI,INV-202407-009196,,matched
BNK00000047,ACC-CURRENT-001,2024-07-07T10:05:32,2024-07-07,customer_payment,0.0,285.73,285.73,1937902.24,UPI,Customer CUS000150,retail,REF000002572,Payment received - UPI,INV-202407-006383,,matched
BNK00000048,ACC-CURRENT-001,2024-07-07T10:44:42,2024-07-07,card_settlement,0.0,100602.07,100602.07,2038504.31,credit_card,Payment Gateway Settlement,payment_processor,REF000000714,Card settlement batch (3 txns),,,partially_matched
BNK00000049,ACC-CURRENT-001,2024-07-07T10:44:42,2024-07-07,bank_charges,1878.43,0.0,-1878.43,2036625.88,bank_fee,Bank,bank,REF000000715,Card MDR charges,,,matched
BNK00000050,ACC-CURRENT-001,2024-07-07T10:45:17,2024-07-07,card_settlement,0.0,7688.67,7688.67,2044314.55,credit_card,Payment Gateway Settlement,payment_processor,REF000000716,Card settlement batch (1 txns),,,matched
BNK00000051,ACC-CURRENT-001,2024-07-07T10:45:17,2024-07-07,bank_charges,150.96,0.0,-150.96,2044163.59,bank_fee,Bank,bank,REF000000717,Card MDR charges,,,matched
BNK00000052,ACC-CURRENT-001,2024-07-07T11:04:37,2024-07-07,customer_payment,0.0,9153.66,9153.66,2053317.25,UPI,Customer CUS000252,retail,REF000002960,Payment received - UPI,INV-202407-002523,,matched
BNK00000053,ACC-CURRENT-001,2024-07-07T11:57:21,2024-07-07,customer_payment,0.0,13752.88,13752.88,2067070.13,bank_transfer,Customer CUS000899,small_business,REF000008053,Payment received - bank_transfer,INV-202407-008846,,matched
BNK00000054,ACC-CURRENT-001,2024-07-07T12:04:49,2024-07-07,customer_payment,0.0,6154.24,6154.24,2073224.37,UPI,Customer CUS000822,retail,REF000005538,Payment received - UPI,INV-202407-003972,,matched
BNK00000055,ACC-CURRENT-001,2024-07-07T14:26:17,2024-07-07,customer_payment,0.0,5075.48,5075.48,2078299.85,bank_transfer,Customer CUS000902,small_business,REF000008062,Payment received - bank_transfer,INV-202407-009267,,matched
BNK00000056,ACC-CURRENT-001,2024-07-07T15:31:57,2024-07-07,customer_payment,0.0,2295.52,2295.52,2080595.37,UPI,Customer CUS000145,retail,REF000002542,Payment received - UPI,INV-202407-001923,,matched
BNK00000057,ACC-CURRENT-001,2024-07-07T17:00:00,2024-07-07,logistics,4418.38,0.0,-4418.38,2076177.0,UPI,Local Courier/Transport,vendor,REF000016973,Freight / local delivery charges,,,matched
BNK00000058,ACC-CURRENT-001,2024-07-07T19:37:53,2024-07-07,cash_deposit,0.0,153877.54,153877.54,2230054.54,cash,Self (till deposit),internal,REF000000007,Daily cash till deposit,,,unmatched
BNK00000059,ACC-CURRENT-001,2024-07-08T12:34:31,2024-07-08,customer_payment,0.0,99314.57,99314.57,2329369.11,UPI,Customer CUS000353,small_business,REF000003474,Payment received - UPI,INV-202407-007815,,matched
BNK00000060,ACC-CURRENT-001,2024-07-08T13:46:01,2024-07-08,customer_payment,0.0,1351.25,1351.25,2330720.36,UPI,Customer CUS000162,retail,REF000002612,Payment received - UPI,INV-202407-003737,,matched
BNK00000061,ACC-CURRENT-001,2024-07-08T16:50:28,2024-07-08,customer_payment,0.0,37612.3,37612.3,2368332.66,UPI,Customer CUS000119,retail,REF000002430,Payment received - UPI,INV-202407-002094,,matched
BNK00000062,ACC-CURRENT-001,2024-07-09T09:26:49,2024-07-09,card_settlement,0.0,48195.94,48195.94,2416528.6,credit_card,Payment Gateway Settlement,payment_processor,REF000000718,Card settlement batch (4 txns),,,partially_matched
BNK00000063,ACC-CURRENT-001,2024-07-09T09:26:49,2024-07-09,bank_charges,702.05,0.0,-702.05,2415826.55,bank_fee,Bank,bank,REF000000719,Card MDR charges,,,matched
BNK00000064,ACC-CURRENT-001,2024-07-09T17:43:07,2024-07-09,customer_payment,0.0,2726.5,2726.5,2418553.05,bank_transfer,Customer CUS000225,corporate,REF000006734,Payment received - bank_transfer,INV-202407-000649,,matched
BNK00000065,ACC-CURRENT-001,2024-07-09T18:01:53,2024-07-09,cash_deposit,0.0,112753.03,112753.03,2531306.08,cash,Self (till deposit),internal,REF000000010,Daily cash till deposit,,,unmatched
BNK00000066,ACC-CURRENT-001,2024-07-09T18:40:58,2024-07-09,cash_deposit,0.0,11256.68,11256.68,2542562.76,cash,Self (till deposit),internal,REF000000008,Daily cash till deposit,,,unmatched
BNK00000067,ACC-CURRENT-001,2024-07-09T19:59:13,2024-07-09,cash_deposit,0.0,7576.56,7576.56,2550139.32,cash,Self (till deposit),internal,REF000000009,Daily cash till deposit,,,unmatched
BNK00000068,ACC-CURRENT-001,2024-07-10T09:42:28,2024-07-10,card_settlement,0.0,1515.32,1515.32,2551654.64,credit_card,Payment Gateway Settlement,payment_processor,REF000000720,Card settlement batch (2 txns),,,partially_matched
BNK00000069,ACC-CURRENT-001,2024-07-10T09:42:28,2024-07-10,bank_charges,21.85,0.0,-21.85,2551632.79,bank_fee,Bank,bank,REF000000721,Card MDR charges,,,matched
BNK00000070,ACC-CURRENT-001,2024-07-10T10:23:18,2024-07-10,customer_payment,0.0,28034.59,28034.59,2579667.38,UPI,Customer CUS000819,small_business,REF000005518,Payment received - UPI,INV-202407-011999,,matched
BNK00000071,ACC-CURRENT-001,2024-07-10T11:57:00,2024-07-10,customer_payment,0.0,78984.99,78984.99,2658652.37,UPI,Customer CUS000374,retail,REF000003560,Payment received - UPI,INV-202407-012393,,matched
BNK00000072,ACC-CURRENT-001,2024-07-10T12:00:12,2024-07-10,customer_payment,0.0,8961.3,8961.3,2667613.67,UPI,Customer CUS000659,small_business,REF000004838,Payment received - UPI,INV-202407-011600,,matched
BNK00000073,ACC-CURRENT-001,2024-07-10T14:25:06,2024-07-10,customer_payment,0.0,56731.78,56731.78,2724345.45,UPI,Customer CUS000656,retail,REF000004802,Payment received - UPI,INV-202407-004156,,matched
BNK00000074,ACC-CURRENT-001,2024-07-10T19:28:37,2024-07-10,customer_payment,0.0,5244.8,5244.8,2729590.25,UPI,Customer CUS000512,retail,REF000004145,Payment received - UPI,INV-202407-002507,,matched
BNK00000075,ACC-CURRENT-001,2024-07-10T19:57:28,2024-07-10,customer_payment,0.0,5606.02,5606.02,2735196.27,UPI,Customer CUS000546,small_business,REF000004285,Payment received - UPI,INV-202407-007522,,matched
BNK00000076,ACC-CURRENT-001,2024-07-11T10:41:47,2024-07-11,card_settlement,0.0,1586.36,1586.36,2736782.63,credit_card,Payment Gateway Settlement,payment_processor,REF000000722,Card settlement batch (1 txns),,,matched
BNK00000077,ACC-CURRENT-001,2024-07-11T10:41:47,2024-07-11,bank_charges,26.73,0.0,-26.73,2736755.9,bank_fee,Bank,bank,REF000000723,Card MDR charges,,,matched
BNK00000078,ACC-CURRENT-001,2024-07-11T11:04:14,2024-07-11,customer_payment,0.0,52975.38,52975.38,2789731.28,UPI,Customer CUS000304,retail,REF000003229,Payment received - UPI,INV-202407-003954,,matched
BNK00000079,ACC-CURRENT-001,2024-07-11T13:29:06,2024-07-11,customer_payment,0.0,807.7,807.7,2790538.98,UPI,Customer CUS000110,retail,REF000002383,Payment received - UPI,INV-202407-012457,,matched
BNK00000080,ACC-CURRENT-001,2024-07-11T14:41:54,2024-07-11,customer_payment,0.0,1161.69,1161.69,2791700.67,UPI,Customer CUS000635,retail,REF000004688,Payment received - UPI,INV-202407-004052,,matched
BNK00000081,ACC-CURRENT-001,2024-07-11T16:19:00,2024-07-11,customer_payment,0.0,2166.33,2166.33,2793867.0,bank_transfer,Customer CUS000171,small_business,REF000006616,Payment received - bank_transfer,INV-202407-011189,,matched
BNK00000082,ACC-CURRENT-001,2024-07-11T17:35:34,2024-07-11,supplier_payment,2310.63,0.0,-2310.63,2791556.37,bank_transfer,Skyline Communications 001,supplier,REF000011051,Payment to supplier,,SINV-SUP001-005865,matched
BNK00000083,ACC-CURRENT-001,2024-07-11T18:04:57,2024-07-11,customer_payment,0.0,78575.13,78575.13,2870131.5,bank_transfer,Customer CUS000486,small_business,REF000007344,Payment received - bank_transfer,INV-202407-013088,,matched
BNK00000084,ACC-CURRENT-001,2024-07-11T19:06:20,2024-07-11,cash_deposit,0.0,9248.41,9248.41,2879379.91,cash,Self (till deposit),internal,REF000000011,Daily cash till deposit,,,unmatched
BNK00000085,ACC-CURRENT-001,2024-07-11T19:39:22,2024-07-11,customer_payment,0.0,9896.34,9896.34,2889276.25,UPI,Customer CUS000947,retail,REF000006078,Payment received - UPI,INV-202407-007981,,matched
BNK00000086,ACC-CURRENT-001,2024-07-12T09:37:20,2024-07-12,card_settlement,0.0,24082.49,24082.49,2913358.74,credit_card,Payment Gateway Settlement,payment_processor,REF000000724,Card settlement batch (2 txns),,,partially_matched
BNK00000087,ACC-CURRENT-001,2024-07-12T09:37:20,2024-07-12,bank_charges,410.67,0.0,-410.67,2912948.07,bank_fee,Bank,bank,REF000000725,Card MDR charges,,,matched
BNK00000088,ACC-CURRENT-001,2024-07-12T16:12:15,2024-07-12,customer_payment,0.0,227239.75,227239.75,3140187.82,bank_transfer,Customer CUS000276,small_business,REF000006839,Payment received - bank_transfer,INV-202407-004680,,matched
BNK00000089,ACC-CURRENT-001,2024-07-12T18:46:13,2024-07-12,customer_payment,0.0,1764.9,1764.9,3141952.72,UPI,Customer CUS000776,retail,REF000005323,Payment received - UPI,INV-202407-013356,,matched
BNK00000090,ACC-CURRENT-001,2024-07-12T18:53:39,2024-07-12,customer_payment,0.0,823.27,823.27,3142775.99,bank_transfer,Customer CUS000038,small_business,REF000006326,Payment received - bank_transfer,INV-202407-006644,,matched
BNK00000091,ACC-CURRENT-001,2024-07-12T19:14:21,2024-07-12,customer_payment,0.0,52039.27,52039.27,3194815.26,UPI,Customer CUS000441,retail,REF000003873,Payment received - UPI,INV-202407-012091,,matched
BNK00000092,ACC-CURRENT-001,2024-07-13T11:10:09,2024-07-13,customer_payment,0.0,25321.99,25321.99,3220137.25,UPI,Customer CUS000124,retail,REF000002444,Payment received - UPI,INV-202407-011679,,matched
BNK00000093,ACC-CURRENT-001,2024-07-13T12:33:51,2024-07-13,customer_payment,0.0,4910.29,4910.29,3225047.54,UPI,Customer CUS000063,retail,REF000002187,Payment received - UPI,INV-202407-003084,,matched
BNK00000094,ACC-CURRENT-001,2024-07-13T12:51:15,2024-07-13,customer_payment,0.0,469999.05,469999.05,3695046.59,UPI,Customer CUS000830,small_business,REF000005556,Payment received - UPI,INV-202407-002599,,matched
BNK00000095,ACC-CURRENT-001,2024-07-13T13:15:59,2024-07-13,customer_payment,0.0,2797.87,2797.87,3697844.46,UPI,Customer CUS000911,retail,REF000005906,Payment received - UPI,INV-202407-005070,,matched
BNK00000096,ACC-CURRENT-001,2024-07-13T17:39:41,2024-07-13,customer_payment,0.0,173091.58,173091.58,3870936.04,bank_transfer,Customer CUS000644,small_business,REF000007616,Payment received - bank_transfer,INV-202407-000898|INV-202407-002211,,partially_matched
BNK00000097,ACC-CURRENT-001,2024-07-13T18:26:31,2024-07-13,cash_deposit,0.0,118023.68,118023.68,3988959.72,cash,Self (till deposit),internal,REF000000012,Daily cash till deposit,,,unmatched
BNK00000098,ACC-CURRENT-001,2024-07-13T18:42:19,2024-07-13,customer_payment,0.0,5228.83,5228.83,3994188.55,UPI,Customer CUS000697,retail,REF000005021,Payment received - UPI,INV-202407-005311,,matched
BNK00000099,ACC-CURRENT-001,2024-07-13T19:21:35,2024-07-13,cash_deposit,0.0,71274.48,71274.48,4065463.03,cash,Self (till deposit),internal,REF000000014,Daily cash till deposit,,,unmatched
BNK00000100,ACC-CURRENT-001,2024-07-14T10:31:19,2024-07-14,customer_payment,0.0,14201.01,14201.01,4079664.04,bank_transfer,Customer CUS000263,small_business,REF000006824,Payment received - bank_transfer,INV-202407-006708,,matched
BNK00000101,ACC-CURRENT-001,2024-07-14T10:31:30,2024-07-14,customer_payment,0.0,3573.53,3573.53,4083237.57,UPI,Customer CUS000515,retail,REF000004160,Payment received - UPI,INV-202407-010355,,matched
BNK00000102,ACC-CURRENT-001,2024-07-14T10:37:42,2024-07-14,card_settlement,0.0,10240.34,10240.34,4093477.91,credit_card,Payment Gateway Settlement,payment_processor,REF000000728,Card settlement batch (1 txns),,,matched
BNK00000103,ACC-CURRENT-001,2024-07-14T10:37:42,2024-07-14,bank_charges,182.81,0.0,-182.81,4093295.1,bank_fee,Bank,bank,REF000000729,Card MDR charges,,,matched
BNK00000104,ACC-CURRENT-001,2024-07-14T12:25:18,2024-07-14,supplier_payment,869.94,0.0,-869.94,4092425.16,bank_transfer,Silver Trading Co. 029,supplier,REF000016403,Payment to supplier,,SINV-SUP029-003838,matched
BNK00000105,ACC-CURRENT-001,2024-07-14T14:00:00,2024-07-14,electricity,34566.36,0.0,-34566.36,4057858.8,bank_transfer,MSEDCL,utility,REF000016968,Electricity bill,,,matched
BNK00000106,ACC-CURRENT-001,2024-07-14T18:16:31,2024-07-14,cash_deposit,0.0,1694.9,1694.9,4059553.7,cash,Self (till deposit),internal,REF000000013,Daily cash till deposit,,,unmatched
BNK00000107,ACC-CURRENT-001,2024-07-14T18:28:51,2024-07-14,customer_payment,0.0,9217.7,9217.7,4068771.4,UPI,Customer CUS000992,retail,REF000006227,Payment received - UPI,INV-202407-010278,,matched
BNK00000108,ACC-CURRENT-001,2024-07-14T18:47:19,2024-07-14,cash_deposit,0.0,1667.23,1667.23,4070438.63,cash,Self (till deposit),internal,REF000000015,Daily cash till deposit,,,unmatched
BNK00000109,ACC-CURRENT-001,2024-07-14T19:06:27,2024-07-14,customer_payment,0.0,2389.49,2389.49,4072828.12,UPI,Customer CUS000041,retail,REF000002102,Payment received - UPI,INV-202407-001564,,matched
BNK00000110,ACC-CURRENT-001,2024-07-15T09:08:48,2024-07-15,card_settlement,0.0,6147.8,6147.8,4078975.92,credit_card,Payment Gateway Settlement,payment_processor,REF000000730,Card settlement batch (1 txns),,,matched
BNK00000111,ACC-CURRENT-001,2024-07-15T09:08:48,2024-07-15,bank_charges,100.99,0.0,-100.99,4078874.93,bank_fee,Bank,bank,REF000000731,Card MDR charges,,,matched
BNK00000112,ACC-CURRENT-001,2024-07-15T09:36:14,2024-07-15,card_settlement,0.0,6048.44,6048.44,4084923.37,credit_card,Payment Gateway Settlement,payment_processor,REF000000726,Card settlement batch (1 txns),,,matched
BNK00000113,ACC-CURRENT-001,2024-07-15T09:36:14,2024-07-15,bank_charges,95.13,0.0,-95.13,4084828.24,bank_fee,Bank,bank,REF000000727,Card MDR charges,,,matched
BNK00000114,ACC-CURRENT-001,2024-07-15T10:20:54,2024-07-15,customer_payment,0.0,1351.34,1351.34,4086179.58,UPI,Customer CUS000205,retail,REF000002780,Payment received - UPI,INV-202407-011190,,matched
BNK00000115,ACC-CURRENT-001,2024-07-15T10:54:06,2024-07-15,customer_payment,0.0,1285.22,1285.22,4087464.8,UPI,Customer CUS000635,retail,REF000004689,Payment received - UPI,INV-202407-011078,,matched
BNK00000116,ACC-CURRENT-001,2024-07-15T11:00:54,2024-07-15,customer_payment,0.0,16784.05,16784.05,4104248.85,UPI,Customer CUS000668,retail,REF000004885,Payment received - UPI,INV-202407-001872,,matched
BNK00000117,ACC-CURRENT-001,2024-07-15T16:41:53,2024-07-15,customer_payment,0.0,6137.22,6137.22,4110386.07,UPI,Customer CUS000991,retail,REF000006225,Payment received - UPI,INV-202407-004804,,matched
BNK00000118,ACC-CURRENT-001,2024-07-15T18:01:01,2024-07-15,customer_payment,0.0,929.46,929.46,4111315.53,UPI,Customer CUS000903,retail,REF000005850,Payment received - UPI,INV-202407-008875,,matched
BNK00000119,ACC-CURRENT-001,2024-07-15T18:43:31,2024-07-15,customer_payment,0.0,31902.68,31902.68,4143218.21,UPI,Customer CUS000577,retail,REF000004428,Payment received - UPI,INV-202407-013897,,matched
BNK00000120,ACC-CURRENT-001,2024-07-15T19:00:18,2024-07-15,customer_payment,0.0,446.96,446.96,4143665.17,UPI,Customer CUS000087,small_business,REF000002291,Payment received - UPI,INV-202407-000295,,matched
BNK00000121,ACC-CURRENT-001,2024-07-16T10:36:09,2024-07-16,customer_payment,0.0,478705.28,478705.28,4622370.45,UPI,Customer CUS000477,small_business,REF000004023,Payment received - UPI,INV-202407-009652,,matched
BNK00000122,ACC-CURRENT-001,2024-07-16T12:32:19,2024-07-16,customer_payment,0.0,8667.37,8667.37,4631037.82,bank_transfer,Customer CUS000942,small_business,REF000008149,Payment received - bank_transfer,INV-202407-002646,,matched
BNK00000123,ACC-CURRENT-001,2024-07-16T15:33:13,2024-07-16,customer_payment,0.0,41806.16,41806.16,4672843.98,UPI,Customer CUS000251,small_business,REF000002957,Payment received - UPI,INV-202407-000091,,matched
BNK00000124,ACC-CURRENT-001,2024-07-16T16:59:31,2024-07-16,customer_payment,0.0,51401.42,51401.42,4724245.4,UPI,Customer CUS000276,small_business,REF000003088,Payment received - UPI,INV-202407-005960,,matched
BNK00000125,ACC-CURRENT-001,2024-07-16T18:15:37,2024-07-16,customer_payment,0.0,5386.45,5386.45,4729631.85,bank_transfer,Customer CUS000685,small_business,REF000007720,Payment received - bank_transfer,INV-202407-001178,,matched
BNK00000126,ACC-CURRENT-001,2024-07-16T18:53:43,2024-07-16,customer_payment,0.0,28706.24,28706.24,4758338.09,UPI,Customer CUS000812,retail,REF000005464,Payment received - UPI,INV-202407-013276,,matched
