inventory_transaction_id,timestamp,product_id,transaction_type,quantity_in,quantity_out,linked_purchase_id,linked_sales_id,warehouse,unit_cost,quantity_balance
INVT00032600,2024-10-16 10:00:00,PRD00002,sale,0.0,1,,TXN00022504,"Andheri East MIDC, Mumbai",31248.314641639918,6.0
INVT00010679,2024-10-16 14:51:23,PRD00002,sale,0.0,1,,TXN00001324,"Andheri East MIDC, Mumbai",31248.314641639918,5.0
INVT00029780,2024-10-17 13:00:58,PRD00002,sale,0.0,1,,TXN00019776,"Andheri East MIDC, Mumbai",31536.67286470629,4.0
INVT00031503,2024-10-17 19:29:12,PRD00002,sale,0.0,1,,TXN00021442,"Andheri East MIDC, Mumbai",31536.67286470629,3.0
INVT00000014,2024-10-19 09:06:59,PRD00002,purchase,10.0,0,PUR00000012,,"Andheri East MIDC, Mumbai",30889.66,13.0
INVT00016375,2024-10-19 16:41:51,PRD00002,sale,0.0,1,,TXN00006824,"Andheri East MIDC, Mumbai",31024.356841342484,12.0
INVT00038882,2024-10-22 11:04:22,PRD00002,sale,0.0,4,,TXN00028559,"Andheri East MIDC, Mumbai",30994.006227943344,8.0
INVT00023578,2024-10-25 11:09:14,PRD00002,sale,0.0,4,,TXN00013784,"Andheri East MIDC, Mumbai",31141.307089750557,4.0
INVT00009414,2024-10-25 13:33:33,PRD00002,sale,0.0,1,,TXN00000101,"Andheri East MIDC, Mumbai",31141.307089750557,3.0
INVT00029003,2024-10-26 13:03:03,PRD00002,sale,0.0,1,,TXN00019029,"Andheri East MIDC, Mumbai",31285.995675265724,2.0
INVT00021327,2024-10-27 17:03:09,PRD00002,sale,0.0,1,,TXN00011599,"Andheri East MIDC, Mumbai",31608.30328730272,1.0
INVT00031856,2024-10-27 19:19:27,PRD00002,sale,0.0,1,,TXN00021782,"Andheri East MIDC, Mumbai",31608.30328730272,0.0
INVT00035587,2024-10-29 11:13:53,PRD00002,sale,0.0,1,,TXN00025380,"Andheri East MIDC, Mumbai",31551.13949987917,0.0
INVT00024729,2024-10-29 16:28:43,PRD00002,sale,0.0,1,,TXN00014906,"Andheri East MIDC, Mumbai",31551.13949987917,0.0
INVT00037347,2024-10-29 18:32:41,PRD00002,sale,0.0,1,,TXN00027069,"Andheri East MIDC, Mumbai",31551.13949987917,0.0
INVT00009415,2024-10-30 00:00:00,PRD00002,sales_return,1.0,0,,TXN00000101,"Andheri East MIDC, Mumbai",31141.307089750557,1.0
INVT00011320,2024-10-30 11:55:56,PRD00002,sale,0.0,1,,TXN00001947,"Andheri East MIDC, Mumbai",32051.637270583375,0.0
INVT00039696,2024-10-31 10:00:00,PRD00002,sale,0.0,1,,TXN00029342,"Andheri East MIDC, Mumbai",31801.53083270439,0.0
INVT00029130,2024-10-31 20:12:37,PRD00002,sale,0.0,1,,TXN00019152,"Andheri East MIDC, Mumbai",31801.53083270439,0.0
INVT00038203,2024-11-01 17:18:45,PRD00002,sale,0.0,1,,TXN00027903,"Andheri East MIDC, Mumbai",31624.981154419507,0.0
INVT00000016,2024-11-02 06:10:39,PRD00002,purchase,9.0,0,PUR00000014,,"Andheri East MIDC, Mumbai",30035.07,9.0
INVT00022582,2024-11-02 19:19:13,PRD00002,sale,0.0,1,,TXN00012811,"Andheri East MIDC, Mumbai",31233.141484667987,8.0
INVT00036522,2024-11-05 14:26:12,PRD00002,sale,0.0,1,,TXN00026284,"Andheri East MIDC, Mumbai",31696.150102953117,7.0
INVT00019159,2024-11-05 18:54:57,PRD00002,sale,0.0,6,,TXN00009506,"Andheri East MIDC, Mumbai",31696.150102953117,1.0
INVT00000015,2024-11-07 03:43:25,PRD00002,purchase,6.0,0,PUR00000013,,"Andheri East MIDC, Mumbai",29831.1,7.0
INVT00024034,2024-11-07 17:47:14,PRD00002,sale,0.0,1,,TXN00014227,"Andheri East MIDC, Mumbai",31309.95083024328,6.0
INVT00026883,2024-11-08 15:57:58,PRD00002,sale,0.0,1,,TXN00016982,"Andheri East MIDC, Mumbai",31030.48151317492,5.0
INVT00021693,2024-11-09 20:03:29,PRD00002,sale,0.0,1,,TXN00011950,"Andheri East MIDC, Mumbai",31379.6019056653,4.0
INVT00033796,2024-11-10 10:00:37,PRD00002,sale,0.0,5,,TXN00023653,"Andheri East MIDC, Mumbai",30991.166609583215,0.0
INVT00037289,2024-11-10 18:59:22,PRD00002,sale,0.0,1,,TXN00027015,"Andheri East MIDC, Mumbai",30991.166609583215,0.0
INVT00015517,2024-11-11 19:27:38,PRD00002,sale,0.0,1,,TXN00006003,"Andheri East MIDC, Mumbai",31483.159908467205,0.0
INVT00034831,2024-11-15 17:31:27,PRD00002,sale,0.0,7,,TXN00024653,"Andheri East MIDC, Mumbai",31552.579306167994,0.0
INVT00013195,2024-11-15 21:07:11,PRD00002,sale,0.0,1,,TXN00003760,"Andheri East MIDC, Mumbai",31552.579306167994,0.0
INVT00000017,2024-11-17 01:53:52,PRD00002,purchase,10.0,0,PUR00000015,,"Andheri East MIDC, Mumbai",34082.47,10.0
INVT00016032,2024-11-18 20:00:02,PRD00002,sale,0.0,1,,TXN00006493,"Andheri East MIDC, Mumbai",31275.236834462998,9.0
INVT00015036,2024-11-22 10:00:00,PRD00002,sale,0.0,1,,TXN00005535,"Andheri East MIDC, Mumbai",31527.069632395072,8.0
INVT00038134,2024-11-24 10:17:41,PRD00002,sale,0.0,1,,TXN00027837,"Andheri East MIDC, Mumbai",31349.443501980168,7.0
INVT00034832,2024-11-28 17:09:29,PRD00002,sale,0.0,1,,TXN00024654,"Andheri East MIDC, Mumbai",31714.27637655252,6.0
INVT00034612,2024-11-28 20:59:28,PRD00002,sale,0.0,1,,TXN00024438,"Andheri East MIDC, Mumbai",31714.27637655252,5.0
INVT00023556,2024-11-30 18:31:08,PRD00002,sale,0.0,1,,TXN00013762,"Andheri East MIDC, Mumbai",31564.063528119288,4.0
INVT00000018,2024-12-02 14:49:02,PRD00002,purchase,10.0,0,PUR00000016,,"Andheri East MIDC, Mumbai",32228.94,14.0
INVT00029482,2024-12-03 14:23:11,PRD00002,sale,0.0,1,,TXN00019490,"Andheri East MIDC, Mumbai",31691.840063731877,13.0
INVT00034001,2024-12-07 12:28:44,PRD00002,sale,0.0,1,,TXN00023849,"Andheri East MIDC, Mumbai",32008.707235059737,12.0
INVT00037950,2024-12-09 13:09:36,PRD00002,sale,0.0,1,,TXN00027657,"Andheri East MIDC, Mumbai",32010.985863688664,11.0
INVT00034348,2024-12-09 16:09:23,PRD00002,sale,0.0,1,,TXN00024180,"Andheri East MIDC, Mumbai",32010.985863688664,10.0
INVT00025063,2024-12-09 16:32:31,PRD00002,sale,0.0,1,,TXN00015228,"Andheri East MIDC, Mumbai",32010.985863688664,9.0
INVT00029483,2024-12-12 00:00:00,PRD00002,sales_return,1.0,0,,TXN00019490,"Andheri East MIDC, Mumbai",31691.840063731877,10.0
INVT00011470,2024-12-14 11:53:38,PRD00002,sale,0.0,1,,TXN00002096,"Andheri East MIDC, Mumbai",31352.36492293677,9.0
INVT00014845,2024-12-14 19:28:08,PRD00002,sale,0.0,1,,TXN00005354,"Andheri East MIDC, Mumbai",31352.36492293677,8.0
INVT00020808,2024-12-14 21:27:00,PRD00002,sale,0.0,1,,TXN00011095,"Andheri East MIDC, Mumbai",31352.36492293677,7.0
INVT00017402,2024-12-16 16:02:57,PRD00002,sale,0.0,1,,TXN00007805,"Andheri East MIDC, Mumbai",31192.544222454737,6.0
INVT00023141,2024-12-16 19:17:56,PRD00002,sale,0.0,1,,TXN00013352,"Andheri East MIDC, Mumbai",31192.544222454737,5.0
INVT00017967,2024-12-18 10:00:00,PRD00002,sale,0.0,1,,TXN00008348,"Andheri East MIDC, Mumbai",32077.774077113554,4.0
INVT00000019,2024-12-18 12:15:08,PRD00002,purchase,10.0,0,PUR00000017,,"Andheri East MIDC, Mumbai",30458.31,14.0
INVT00037959,2024-12-18 15:56:47,PRD00002,sale,0.0,1,,TXN00027666,"Andheri East MIDC, Mumbai",32077.774077113554,13.0
INVT00011954,2024-12-20 19:29:26,PRD00002,sale,0.0,1,,TXN00002563,"Andheri East MIDC, Mumbai",31642.760440373204,12.0
INVT00038132,2024-12-21 19:20:43,PRD00002,sale,0.0,1,,TXN00027835,"Andheri East MIDC, Mumbai",31512.49905244472,11.0
INVT00037187,2024-12-22 11:10:55,PRD00002,sale,0.0,1,,TXN00026919,"Andheri East MIDC, Mumbai",31557.275078673258,10.0
INVT00025203,2024-12-24 14:09:52,PRD00002,sale,0.0,1,,TXN00015363,"Andheri East MIDC, Mumbai",32000.876393114035,9.0
INVT00021842,2024-12-26 20:27:31,PRD00002,sale,0.0,2,,TXN00012093,"Andheri East MIDC, Mumbai",31960.523212322765,7.0
INVT00016953,2024-12-29 12:55:26,PRD00002,sale,0.0,1,,TXN00007373,"Andheri East MIDC, Mumbai",31536.347285920976,6.0
INVT00015012,2024-12-29 20:18:40,PRD00002,sale,0.0,1,,TXN00005512,"Andheri East MIDC, Mumbai",31536.347285920976,5.0
INVT00020319,2025-01-02 13:21:49,PRD00002,sale,0.0,1,,TXN00010622,"Andheri East MIDC, Mumbai",31891.94981708268,4.0
INVT00015013,2025-01-03 00:00:00,PRD00002,sales_return,1.0,0,,TXN00005512,"Andheri East MIDC, Mumbai",31536.347285920976,5.0
INVT00000020,2025-01-03 20:53:38,PRD00002,purchase,3.0,0,PUR00000018,,"Andheri East MIDC, Mumbai",31668.01,8.0
INVT00032285,2025-01-04 16:15:15,PRD00002,sale,0.0,6,,TXN00022195,"Andheri East MIDC, Mumbai",31501.255738997752,2.0
INVT00028267,2025-01-04 18:29:02,PRD00002,sale,0.0,3,,TXN00018321,"Andheri East MIDC, Mumbai",31501.255738997752,0.0
INVT00016541,2025-01-05 15:22:00,PRD00002,sale,0.0,1,,TXN00006984,"Andheri East MIDC, Mumbai",31366.303577379662,0.0
INVT00039223,2025-01-05 16:41:58,PRD00002,sale,0.0,1,,TXN00028889,"Andheri East MIDC, Mumbai",31366.303577379662,0.0
INVT00000021,2025-01-08 10:31:24,PRD00002,purchase,10.0,0,PUR00000019,,"Andheri East MIDC, Mumbai",33530.94,10.0
INVT00033407,2025-01-08 20:27:20,PRD00002,sale,0.0,1,,TXN00023282,"Andheri East MIDC, Mumbai",31402.1917189361,9.0
INVT00034153,2025-01-18 18:36:55,PRD00002,sale,0.0,1,,TXN00023991,"Andheri East MIDC, Mumbai",31647.60921317604,8.0
INVT00022774,2025-01-25 12:49:12,PRD00002,sale,0.0,1,,TXN00013002,"Andheri East MIDC, Mumbai",31333.91315965794,7.0
INVT00035353,2025-01-30 12:14:58,PRD00002,sale,0.0,6,,TXN00025154,"Andheri East MIDC, Mumbai",31728.761444535136,1.0
INVT00034131,2025-01-31 11:55:24,PRD00002,sale,0.0,1,,TXN00023972,"Andheri East MIDC, Mumbai",32031.367343447855,0.0
INVT00022993,2025-02-04 13:55:35,PRD00002,sale,0.0,6,,TXN00013212,"Andheri East MIDC, Mumbai",31718.76070013765,0.0
INVT00000022,2025-02-06 09:03:58,PRD00002,purchase,10.0,0,PUR00000020,,"Andheri East MIDC, Mumbai",30859.31,10.0
INVT00017588,2025-02-07 16:32:54,PRD00002,sale,0.0,1,,TXN00007985,"Andheri East MIDC, Mumbai",31671.550626081964,9.0
INVT00035989,2025-02-08 20:36:35,PRD00002,sale,0.0,1,,TXN00025766,"Andheri East MIDC, Mumbai",31591.927260190936,8.0
INVT00014514,2025-02-09 14:11:14,PRD00002,sale,0.0,1,,TXN00005037,"Andheri East MIDC, Mumbai",32328.11780207127,7.0
INVT00024201,2025-02-16 19:00:55,PRD00002,sale,0.0,1,,TXN00014392,"Andheri East MIDC, Mumbai",31488.91528497321,6.0
INVT00026664,2025-02-17 20:37:09,PRD00002,sale,0.0,1,,TXN00016766,"Andheri East MIDC, Mumbai",31861.04660139531,5.0
INVT00000023,2025-02-21 23:29:39,PRD00002,purchase,10.0,0,PUR00000021,,"Andheri East MIDC, Mumbai",34429.9,15.0
INVT00036938,2025-02-26 19:43:19,PRD00002,sale,0.0,3,,TXN00026682,"Andheri East MIDC, Mumbai",31688.03374900602,12.0
INVT00024226,2025-03-01 12:46:16,PRD00002,sale,0.0,1,,TXN00014417,"Andheri East MIDC, Mumbai",31776.942362096375,11.0
INVT00024766,2025-03-03 16:47:59,PRD00002,sale,0.0,1,,TXN00014942,"Andheri East MIDC, Mumbai",31535.346598066357,10.0
INVT00012627,2025-03-07 15:10:26,PRD00002,sale,0.0,1,,TXN00003210,"Andheri East MIDC, Mumbai",32280.092037722625,9.0
INVT00029821,2025-03-09 17:55:58,PRD00002,sale,0.0,4,,TXN00019815,"Andheri East MIDC, Mumbai",31678.542761500903,5.0
INVT00035103,2025-03-14 12:27:14,PRD00002,sale,0.0,1,,TXN00024913,"Andheri East MIDC, Mumbai",31461.3663967436,4.0
INVT00023851,2025-03-14 17:33:03,PRD00002,sale,0.0,1,,TXN00014049,"Andheri East MIDC, Mumbai",31461.3663967436,3.0
INVT00035104,2025-03-15 00:00:00,PRD00002,sales_return,1.0,0,,TXN00024913,"Andheri East MIDC, Mumbai",31461.3663967436,4.0
INVT00000024,2025-03-17 21:14:49,PRD00002,purchase,3.0,0,PUR00000022,,"Andheri East MIDC, Mumbai",31612.13,7.0
INVT00028031,2025-03-19 20:19:26,PRD00002,sale,0.0,1,,TXN00018090,"Andheri East MIDC, Mumbai",31525.3642610654,6.0
INVT00011825,2025-03-20 13:53:00,PRD00002,sale,0.0,1,,TXN00002439,"Andheri East MIDC, Mumbai",31846.246180721024,5.0
INVT00000025,2025-03-22 16:08:06,PRD00002,purchase,10.0,0,PUR00000023,,"Andheri East MIDC, Mumbai",31341.27,15.0
INVT00013878,2025-03-28 16:59:36,PRD00002,sale,0.0,1,,TXN00004426,"Andheri East MIDC, Mumbai",31504.773564789484,14.0
INVT00028203,2025-03-28 20:44:14,PRD00002,sale,0.0,7,,TXN00018260,"Andheri East MIDC, Mumbai",31504.773564789484,7.0
INVT00017253,2025-03-30 11:53:54,PRD00002,sale,0.0,1,,TXN00007662,"Andheri East MIDC, Mumbai",31042.36111665833,6.0
