product_id,sku,product_name,category,subcategory,brand,model,unit,mrp,typical_selling_price,minimum_selling_price,typical_purchase_cost,preferred_supplier_id,alternate_supplier_ids,gross_margin_target,weight_kg,volume_liters,product_lifecycle_stage,launch_date,discontinuation_date,demand_score,seasonality_profile,price_sensitivity,substitution_group,return_probability,warranty_months,slow_moving_probability,is_accessory,min_qty_per_txn,max_qty_per_txn
PRD00011,SKU-FEA-00011,Griplex Basic Feature Phones GR663,feature_phones,basic,Griplex,GR663,pcs,2410.0,2238.75,1902.94,1814.58,SUP001,SUP017,0.1895,0.185,1.133,growth,2023-06-10,,0.7379,"{1: 0.955, 2: 0.962, 3: 0.925, 4: 1.01, 5: 1.041, 6: 0.914, 7: 0.996, 8: 1.056, 9: 1.05, 10: 1.063, 11: 0.99, 12: 1.064}",0.471,feature_phones:basic,0.0118,6,0.2785,False,1,2
PRD00012,SKU-FEA-00012,Mistral Dual-Sim Feature Phones MI257,feature_phones,dual-sim,Mistral,MI257,pcs,1200.0,1168.73,1057.29,1036.56,SUP001,SUP017,0.1131,0.128,0.637,mature,2023-01-15,,2.1764,"{1: 1.082, 2: 1.058, 3: 0.992, 4: 0.916, 5: 0.903, 6: 0.995, 7: 0.999, 8: 0.981, 9: 1.014, 10: 1.01, 11: 1.067, 12: 0.922}",0.599,feature_phones:dual-sim,0.02,12,0.1544,False,1,2
PRD00013,SKU-FEA-00013,Lumo Dual-Sim Feature Phones LU645,feature_phones,dual-sim,Lumo,LU645,pcs,3200.0,2400.0,2118.84,2077.29,SUP017,SUP001,0.1345,0.536,0.297,introduction,2024-08-03,,2.086,"{1: 1.083, 2: 0.928, 3: 1.036, 4: 1.063, 5: 0.947, 6: 0.955, 7: 1.093, 8: 0.953, 9: 0.986, 10: 0.987, 11: 0.951, 12: 1.055}",0.192,feature_phones:dual-sim,0.0118,12,0.2236,False,1,2
PRD00014,SKU-FEA-00014,Lumo Dual-Sim Feature Phones LU893,feature_phones,dual-sim,Lumo,LU893,pcs,1090.0,897.63,776.52,761.29,SUP001,SUP017,0.1519,0.456,0.242,mature,2021-09-08,,1.3867,"{1: 0.982, 2: 0.981, 3: 1.085, 4: 0.949, 5: 1.046, 6: 1.051, 7: 0.92, 8: 0.994, 9: 0.94, 10: 0.937, 11: 0.993, 12: 0.958}",0.472,feature_phones:dual-sim,0.0186,6,0.408,False,1,2
PRD00015,SKU-LAP-00015,Fintor Business Laptops FI924,laptops,business,Fintor,FI924,pcs,131600.0,98700.0,88654.87,86916.54,SUP023,SUP021|SUP002,0.1194,0.066,0.444,mature,2024-02-21,,0.4415,"{1: 1.016, 2: 0.948, 3: 1.201, 4: 1.001, 5: 0.915, 6: 1.224, 7: 1.11, 8: 1.028, 9: 0.997, 10: 1.361, 11: 1.191, 12: 0.954}",0.128,laptops:business,0.0288,36,0.1596,False,1,1
PRD00016,SKU-LAP-00016,Ridgeline Business Laptops RI419,laptops,business,Ridgeline,RI419,pcs,59570.0,44677.5,39689.46,38911.24,SUP021,SUP023|SUP002,0.1291,0.065,0.076,mature,2024-08-19,,1.3215,"{1: 0.995, 2: 0.944, 3: 1.251, 4: 1.013, 5: 0.899, 6: 1.139, 7: 1.018, 8: 1.019, 9: 0.951, 10: 1.273, 11: 1.252, 12: 0.865}",0.322,laptops:business,0.0354,36,0.2059,False,1,1
PRD00017,SKU-LAP-00017,Ridgeline Ultrabook Laptops RI307,laptops,ultrabook,Ridgeline,RI307,pcs,23290.0,22760.54,20265.12,19867.76,SUP023,SUP002|SUP021,0.1271,0.399,0.313,mature,2022-02-06,,1.6527,"{1: 1.193, 2: 0.966, 3: 1.121, 4: 0.942, 5: 0.826, 6: 1.155, 7: 0.96, 8: 1.043, 9: 0.961, 10: 1.204, 11: 1.225, 12: 0.965}",0.525,laptops:ultrabook,0.027,24,0.277,False,1,1
PRD00018,SKU-LAP-00018,Wyvern Business Laptops WY733,laptops,business,Wyvern,WY733,pcs,58790.0,44920.69,42525.63,41691.79,SUP021,SUP023|SUP002,0.0719,0.116,0.261,decline,2023-03-14,,1.9258,"{1: 1.055, 2: 1.014, 3: 1.15, 4: 1.011, 5: 0.922, 6: 1.278, 7: 1.076, 8: 0.881, 9: 1.091, 10: 1.345, 11: 1.192, 12: 0.869}",0.421,laptops:business,0.0353,36,0.1072,False,1,1
PRD00019,SKU-TAB-00019,Blitzo Education Tablets BL934,tablets,education,Blitzo,BL934,pcs,20650.0,15487.5,13948.88,13675.37,SUP020,SUP008|SUP023,0.117,0.044,0.485,mature,2024-01-10,,0.692,"{1: 1.054, 2: 0.994, 3: 0.906, 4: 0.963, 5: 0.838, 6: 1.306, 7: 1.027, 8: 0.974, 9: 0.965, 10: 1.337, 11: 1.179, 12: 1.052}",0.894,tablets:education,0.0236,24,0.2375,False,1,1
PRD00020,SKU-TAB-00020,Aurex Consumer Tablets AU713,tablets,consumer,Aurex,AU713,pcs,24590.0,21105.39,18308.13,17949.15,SUP023,SUP020|SUP008,0.1495,0.039,0.311,decline,2022-10-15,,1.0392,"{1: 1.009, 2: 0.962, 3: 1.001, 4: 0.976, 5: 0.883, 6: 1.26, 7: 1.063, 8: 0.918, 9: 0.925, 10: 1.219, 11: 1.284, 12: 0.989}",0.183,tablets:consumer,0.0288,12,0.4983,False,1,1
PRD00021,SKU-TAB-00021,Circuitry Education Tablets CI347,tablets,education,Circuitry,CI347,pcs,9070.0,6802.5,6356.78,6232.14,SUP020,SUP023|SUP008,0.0838,0.223,0.333,mature,2022-08-15,,3.8014,"{1: 0.941, 2: 0.98, 3: 1.045, 4: 0.969, 5: 0.982, 6: 1.199, 7: 1.056, 8: 0.946, 9: 0.972, 10: 1.228, 11: 1.091, 12: 0.97}",0.226,tablets:education,0.0202,12,0.0684,False,1,1
PRD00022,SKU-MON-00022,Mistral Office Monitors MI877,monitors,office,Mistral,MI877,pcs,15670.0,12793.0,11311.87,11090.07,SUP022,SUP010|SUP001,0.1331,0.099,0.168,decline,2022-08-06,,0.1008,"{1: 1.07, 2: 1.023, 3: 1.176, 4: 0.983, 5: 1.014, 6: 0.931, 7: 1.048, 8: 0.915, 9: 1.046, 10: 1.23, 11: 1.144, 12: 1.002}",0.193,monitors:office,0.0353,36,0.3113,False,1,1
PRD00023,SKU-MON-00023,Uplink Gaming Monitors UP947,monitors,gaming,Uplink,UP947,pcs,26900.0,25499.43,22960.61,22510.4,SUP016,SUP002|SUP001,0.1172,0.182,0.23,mature,2023-11-05,,2.3643,"{1: 0.995, 2: 1.051, 3: 1.101, 4: 0.967, 5: 1.069, 6: 1.004, 7: 1.069, 8: 0.989, 9: 1.091, 10: 1.185, 11: 1.062, 12: 1.077}",0.368,monitors:gaming,0.0218,36,0.4854,False,1,1
PRD00024,SKU-MON-00024,Uplink Office Monitors UP288,monitors,office,Uplink,UP288,pcs,14490.0,10867.5,9513.57,9327.03,SUP017,SUP002|SUP010,0.1418,0.514,0.275,mature,2023-08-31,,0.2244,"{1: 1.019, 2: 0.904, 3: 1.153, 4: 0.969, 5: 0.984, 6: 0.92, 7: 1.057, 8: 1.088, 9: 0.904, 10: 1.173, 11: 1.211, 12: 0.957}",0.483,monitors:office,0.0279,36,0.0211,False,1,1
PRD00025,SKU-TEL-00025,Uplink Led Televisions UP181,televisions,LED,Uplink,UP181,pcs,29640.0,22408.23,19327.17,18948.21,SUP016,SUP019|SUP010,0.1544,0.761,0.496,decline,2022-04-20,,1.236,"{1: 1.027, 2: 0.846, 3: 1.036, 4: 0.889, 5: 1.035, 6: 0.857, 7: 0.825, 8: 0.97, 9: 1.252, 10: 1.689, 11: 1.361, 12: 1.124}",0.386,televisions:LED,0.0295,12,0.289,False,1,1
PRD00026,SKU-TEL-00026,Uplink Led Televisions UP956,televisions,LED,Uplink,UP956,pcs,73640.0,71141.95,66000.57,64706.44,SUP016,SUP019|SUP010,0.0905,0.134,0.453,mature,2022-09-02,,2.5439,"{1: 1.14, 2: 0.858, 3: 0.908, 4: 0.876, 5: 0.948, 6: 0.859, 7: 0.771, 8: 0.956, 9: 1.126, 10: 1.659, 11: 1.368, 12: 1.016}",0.541,televisions:LED,0.0207,12,0.0607,False,1,1
PRD00027,SKU-TEL-00027,Novak Led Televisions NO553,televisions,LED,Novak,NO553,pcs,40180.0,30135.0,27505.13,26965.81,SUP019,SUP010|SUP016,0.1052,0.394,0.335,mature,2022-02-04,,0.2341,"{1: 1.107, 2: 0.954, 3: 1.02, 4: 1.018, 5: 0.92, 6: 0.86, 7: 0.835, 8: 0.908, 9: 1.188, 10: 1.62, 11: 1.37, 12: 1.034}",0.44,televisions:LED,0.0299,24,0.4227,False,1,1
PRD00028,SKU-TEL-00028,Orbex Smart Televisions OR520,televisions,smart,Orbex,OR520,pcs,37020.0,31402.69,29079.3,28509.12,SUP019,SUP016|SUP010,0.0921,0.145,0.103,growth,2022-10-05,,1.7215,"{1: 1.0, 2: 0.977, 3: 0.923, 4: 0.962, 5: 1.044, 6: 0.821, 7: 0.867, 8: 1.063, 9: 1.096, 10: 1.704, 11: 1.332, 12: 1.084}",0.48,televisions:smart,0.0128,12,0.515,False,1,1
PRD00029,SKU-TEL-00029,Novak Smart Televisions NO497,televisions,smart,Novak,NO497,pcs,13970.0,10955.63,10187.66,9987.9,SUP016,SUP019|SUP010,0.0883,0.673,0.623,growth,2024-05-15,,3.9782,"{1: 0.959, 2: 0.817, 3: 1.031, 4: 0.919, 5: 1.031, 6: 0.827, 7: 0.926, 8: 1.05, 9: 1.29, 10: 1.576, 11: 1.35, 12: 1.022}",0.299,televisions:smart,0.0183,24,0.1858,False,1,1
PRD00030,SKU-TEL-00030,Orbex Led Televisions OR726,televisions,LED,Orbex,OR726,pcs,52520.0,39390.0,35715.96,35015.65,SUP019,SUP016|SUP010,0.1111,0.434,0.538,mature,2022-10-14,,0.9567,"{1: 1.063, 2: 0.833, 3: 1.05, 4: 0.951, 5: 1.045, 6: 0.966, 7: 0.872, 8: 1.022, 9: 1.261, 10: 1.816, 11: 1.503, 12: 0.953}",0.729,televisions:LED,0.0112,24,0.4287,False,1,1
PRD00031,SKU-TEL-00031,Uplink Premium Televisions UP732,televisions,premium,Uplink,UP732,pcs,15990.0,14089.33,13113.83,12856.7,SUP010,SUP019|SUP016,0.0875,0.297,0.486,discontinued,2022-04-23,2025-04-18,1.1319,"{1: 1.104, 2: 0.895, 3: 0.997, 4: 0.938, 5: 0.965, 6: 0.904, 7: 0.838, 8: 1.02, 9: 1.296, 10: 1.868, 11: 1.282, 12: 1.026}",0.674,televisions:premium,0.0246,24,0.0594,False,1,1
PRD00032,SKU-HEA-00032,Wyvern Wired Headphones WY750,headphones,wired,Wyvern,WY750,pcs,500.0,378.65,321.85,272.86,SUP029,SUP025|SUP027,0.2794,0.373,0.028,decline,2025-02-09,,1.4365,"{1: 0.91, 2: 0.996, 3: 1.077, 4: 1.033, 5: 1.037, 6: 0.953, 7: 0.984, 8: 0.973, 9: 1.004, 10: 1.191, 11: 1.158, 12: 1.153}",0.357,headphones:wired,0.05,6,0.2032,True,1,2
PRD00033,SKU-HEA-00033,Kyra Over-Ear Headphones KY969,headphones,over-ear,Kyra,KY969,pcs,900.0,682.7,580.3,564.87,SUP017,SUP027|SUP029,0.1726,1.391,1.45,introduction,2025-08-30,,1.7296,"{1: 0.952, 2: 0.938, 3: 0.925, 4: 1.011, 5: 1.019, 6: 1.058, 7: 1.051, 8: 1.079, 9: 1.061, 10: 1.139, 11: 1.213, 12: 1.151}",0.787,headphones:over-ear,0.0444,12,0.2555,True,1,2
PRD00034,SKU-HEA-00034,Kyra Wireless Headphones KY196,headphones,wireless,Kyra,KY196,pcs,890.0,767.05,651.99,591.28,SUP027,SUP025|SUP017,0.2291,0.301,0.158,mature,2025-08-12,,1.0968,"{1: 1.091, 2: 1.018, 3: 1.033, 4: 0.987, 5: 1.051, 6: 1.1, 7: 0.932, 8: 0.94, 9: 1.008, 10: 1.196, 11: 1.217, 12: 1.092}",0.437,headphones:wireless,0.0553,6,0.1523,True,1,2
PRD00035,SKU-HEA-00035,Kyra Over-Ear Headphones KY817,headphones,over-ear,Kyra,KY817,pcs,2490.0,1867.5,1587.38,1417.56,SUP027,SUP025|SUP017,0.2409,1.139,0.109,mature,2024-07-26,,0.1759,"{1: 1.073, 2: 1.045, 3: 1.004, 4: 0.974, 5: 0.91, 6: 0.929, 7: 0.939, 8: 0.975, 9: 1.089, 10: 1.201, 11: 1.136, 12: 1.105}",0.717,headphones:over-ear,0.0631,12,0.2313,True,1,2
PRD00036,SKU-HEA-00036,Solis Over-Ear Headphones SO962,headphones,over-ear,Solis,SO962,pcs,1570.0,1177.5,1011.72,991.88,SUP025,SUP017|SUP027,0.1576,0.157,0.194,growth,2025-03-02,,0.5227,"{1: 1.087, 2: 1.006, 3: 1.028, 4: 0.993, 5: 0.984, 6: 0.924, 7: 0.919, 8: 0.947, 9: 1.067, 10: 1.115, 11: 1.134, 12: 1.212}",0.705,headphones:over-ear,0.0632,12,0.6266,True,1,2
PRD00037,SKU-HEA-00037,Kyra Wired Headphones KY965,headphones,wired,Kyra,KY965,pcs,8610.0,6457.5,5488.88,4685.8,SUP027,SUP025|SUP017,0.2744,1.426,0.524,introduction,2025-12-26,,2.7608,"{1: 0.95, 2: 1.006, 3: 0.975, 4: 1.094, 5: 0.935, 6: 0.964, 7: 0.959, 8: 1.009, 9: 1.0, 10: 1.234, 11: 1.308, 12: 1.148}",0.458,headphones:wired,0.0305,12,0.4601,True,1,2
PRD00038,SKU-HEA-00038,Solis Wired Headphones SO771,headphones,wired,Solis,SO771,pcs,2320.0,1740.0,1479.0,1321.37,SUP027,SUP017|SUP029,0.2406,0.303,0.857,discontinued,2023-05-09,2023-06-25,2.5108,"{1: 0.905, 2: 1.067, 3: 0.915, 4: 0.939, 5: 0.901, 6: 0.989, 7: 0.967, 8: 0.933, 9: 0.99, 10: 1.177, 11: 1.264, 12: 1.294}",0.231,headphones:wired,0.0548,12,0.094,True,1,2
PRD00039,SKU-HEA-00039,Wyvern Wireless Headphones WY469,headphones,wireless,Wyvern,WY469,pcs,3870.0,3138.53,2667.75,2452.72,SUP025,SUP027|SUP029,0.2185,0.744,1.314,growth,2025-05-12,,1.4912,"{1: 1.065, 2: 1.08, 3: 1.075, 4: 1.092, 5: 0.946, 6: 1.086, 7: 1.014, 8: 0.984, 9: 1.012, 10: 1.162, 11: 1.149, 12: 1.138}",0.464,headphones:wireless,0.0609,12,0.0606,True,1,2
PRD00040,SKU-HEA-00040,Jetstream Wireless Headphones JE653,headphones,wireless,Jetstream,JE653,pcs,6570.0,5220.46,4437.39,4282.04,SUP029,SUP025|SUP027,0.1798,0.123,0.247,mature,2022-07-11,,1.8274,"{1: 1.049, 2: 0.991, 3: 1.085, 4: 0.979, 5: 1.013, 6: 0.921, 7: 0.945, 8: 1.068, 9: 0.979, 10: 1.175, 11: 1.139, 12: 1.198}",0.906,headphones:wireless,0.0639,12,0.2163,True,1,2
PRD00041,SKU-HEA-00041,Kyra Wired Headphones KY458,headphones,wired,Kyra,KY458,pcs,1990.0,1728.09,1468.88,1318.01,SUP025,SUP027|SUP017,0.2373,0.334,0.114,mature,2024-09-17,,2.2701,"{1: 1.09, 2: 0.976, 3: 1.075, 4: 1.097, 5: 1.075, 6: 0.933, 7: 1.064, 8: 0.906, 9: 0.979, 10: 1.289, 11: 1.245, 12: 1.208}",0.326,headphones:wired,0.0596,12,0.5051,True,1,2
PRD00042,SKU-HEA-00042,Kyra Wired Headphones KY602,headphones,wired,Kyra,KY602,pcs,10910.0,8182.5,6955.12,6651.65,SUP025,SUP027|SUP017,0.1871,0.052,0.474,discontinued,2024-08-27,2025-06-12,1.4757,"{1: 0.979, 2: 1.079, 3: 0.901, 4: 0.96, 5: 1.011, 6: 0.967, 7: 0.954, 8: 0.992, 9: 0.936, 10: 1.207, 11: 1.25, 12: 1.218}",0.536,headphones:wired,0.0464,6,0.0952,True,1,2
PRD00043,SKU-HEA-00043,Jetstream Wired Headphones JE796,headphones,wired,Jetstream,JE796,pcs,2170.0,2059.36,1775.09,1740.28,SUP027,SUP017|SUP025,0.1549,0.315,0.322,decline,2022-06-01,,2.6969,"{1: 0.914, 2: 1.089, 3: 0.989, 4: 1.035, 5: 1.068, 6: 1.098, 7: 0.932, 8: 1.06, 9: 1.077, 10: 1.092, 11: 1.261, 12: 1.165}",0.349,headphones:wired,0.051,6,0.1304,True,1,2
PRD00044,SKU-EAR-00044,Zenith Neckband Earbuds ZE358,earbuds,neckband,Zenith,ZE358,pcs,5610.0,4465.59,3882.74,3806.61,SUP010,SUP003,0.1476,0.372,0.285,growth,2025-07-30,,2.8704,"{1: 0.954, 2: 0.974, 3: 0.909, 4: 1.057, 5: 0.987, 6: 0.988, 7: 0.949, 8: 0.942, 9: 1.272, 10: 1.183, 11: 1.141, 12: 1.054}",0.189,earbuds:neckband,0.0731,12,0.0305,True,1,2
PRD00045,SKU-EAR-00045,Lumo Neckband Earbuds LU516,earbuds,neckband,Lumo,LU516,pcs,2630.0,2011.5,1709.77,1519.3,SUP003,SUP010,0.2447,0.842,0.7,growth,2024-09-29,,1.1543,"{1: 0.992, 2: 0.904, 3: 0.95, 4: 0.924, 5: 0.943, 6: 0.955, 7: 0.98, 8: 1.006, 9: 1.125, 10: 1.165, 11: 1.148, 12: 1.01}",0.119,earbuds:neckband,0.0772,12,0.1445,True,1,2
PRD00046,SKU-EAR-00046,Blitzo Tws Earbuds BL231,earbuds,TWS,Blitzo,BL231,pcs,14160.0,10620.0,9027.0,8214.86,SUP010,SUP003,0.2265,2.081,0.283,mature,2022-02-09,,0.6461,"{1: 1.085, 2: 1.014, 3: 1.041, 4: 0.93, 5: 1.007, 6: 1.035, 7: 0.991, 8: 0.931, 9: 1.186, 10: 1.339, 11: 1.134, 12: 1.042}",0.707,earbuds:TWS,0.066,6,0.2163,True,1,2
PRD00047,SKU-EAR-00047,Lumo Neckband Earbuds LU470,earbuds,neckband,Lumo,LU470,pcs,2140.0,1605.0,1364.25,1223.62,SUP010,SUP003,0.2376,0.255,0.133,mature,2024-05-21,,0.8094,"{1: 1.063, 2: 0.934, 3: 0.957, 4: 0.984, 5: 0.965, 6: 1.06, 7: 1.092, 8: 1.075, 9: 1.163, 10: 1.319, 11: 1.162, 12: 1.083}",0.705,earbuds:neckband,0.0404,12,0.0645,True,1,2
PRD00048,SKU-EAR-00048,Blitzo Neckband Earbuds BL632,earbuds,neckband,Blitzo,BL632,pcs,1540.0,1459.63,1240.69,1144.33,SUP010,SUP003,0.216,0.988,0.671,mature,2022-06-24,,0.1803,"{1: 1.023, 2: 0.956, 3: 0.92, 4: 1.021, 5: 0.913, 6: 0.948, 7: 0.912, 8: 1.01, 9: 1.165, 10: 1.278, 11: 1.323, 12: 1.064}",0.613,earbuds:neckband,0.0662,12,0.2314,True,1,2
PRD00049,SKU-EAR-00049,Novak Neckband Earbuds NO776,earbuds,neckband,Novak,NO776,pcs,8890.0,6667.5,5667.38,5179.49,SUP010,SUP003,0.2232,3.146,0.085,mature,2021-12-24,,0.1685,"{1: 1.042, 2: 1.09, 3: 0.918, 4: 0.965, 5: 0.947, 6: 0.979, 7: 1.048, 8: 0.995, 9: 1.268, 10: 1.204, 11: 1.16, 12: 0.953}",0.648,earbuds:neckband,0.0756,6,0.4568,True,1,2
PRD00050,SKU-EAR-00050,Blitzo Tws Earbuds BL985,earbuds,TWS,Blitzo,BL985,pcs,6090.0,4735.52,4025.19,3662.97,SUP010,SUP003,0.2265,2.204,0.284,decline,2024-10-21,,0.5796,"{1: 1.077, 2: 0.92, 3: 1.03, 4: 1.057, 5: 1.023, 6: 0.999, 7: 1.023, 8: 0.93, 9: 1.179, 10: 1.192, 11: 1.274, 12: 0.988}",0.891,earbuds:TWS,0.0657,12,0.4107,True,1,2
PRD00051,SKU-EAR-00051,Blitzo Neckband Earbuds BL159,earbuds,neckband,Blitzo,BL159,pcs,740.0,705.9,600.01,511.8,SUP010,SUP003,0.275,0.305,0.305,mature,2023-09-13,,0.6223,"{1: 0.963, 2: 0.941, 3: 0.991, 4: 1.009, 5: 1.084, 6: 1.075, 7: 1.083, 8: 1.07, 9: 1.366, 10: 1.241, 11: 1.137, 12: 0.917}",0.778,earbuds:neckband,0.0446,6,0.0375,True,1,2
PRD00052,SKU-EAR-00052,Zenith Tws Earbuds ZE707,earbuds,TWS,Zenith,ZE707,pcs,1930.0,1590.58,1351.99,1223.95,SUP003,SUP010,0.2305,1.345,0.368,mature,2024-06-03,,0.7534,"{1: 0.966, 2: 0.991, 3: 0.938, 4: 0.939, 5: 1.008, 6: 0.926, 7: 1.038, 8: 1.089, 9: 1.232, 10: 1.35, 11: 1.15, 12: 0.909}",0.847,earbuds:TWS,0.0508,12,0.5051,True,1,2
PRD00053,SKU-EAR-00053,Blitzo Tws Earbuds BL635,earbuds,TWS,Blitzo,BL635,pcs,14820.0,14196.52,12324.13,12082.48,SUP003,SUP010,0.1489,0.106,1.137,decline,2022-05-07,,3.0829,"{1: 0.911, 2: 1.083, 3: 0.962, 4: 1.096, 5: 1.093, 6: 0.929, 7: 1.043, 8: 1.02, 9: 1.298, 10: 1.149, 11: 1.172, 12: 0.915}",0.272,earbuds:TWS,0.045,6,0.2415,True,1,2
PRD00054,SKU-EAR-00054,Blitzo Tws Earbuds BL879,earbuds,TWS,Blitzo,BL879,pcs,2140.0,1622.25,1422.02,1394.14,SUP003,SUP010,0.1406,0.176,0.317,growth,2021-08-17,,1.7534,"{1: 1.04, 2: 1.03, 3: 0.978, 4: 1.011, 5: 0.919, 6: 0.931, 7: 1.086, 8: 1.052, 9: 1.356, 10: 1.354, 11: 1.287, 12: 1.086}",0.623,earbuds:TWS,0.0515,6,0.3283,True,1,2
PRD00055,SKU-EAR-00055,Blitzo Neckband Earbuds BL972,earbuds,neckband,Blitzo,BL972,pcs,4270.0,3801.61,3255.28,3191.45,SUP010,SUP003,0.1605,0.535,0.125,growth,2025-05-20,,0.0608,"{1: 1.03, 2: 0.997, 3: 0.988, 4: 0.922, 5: 1.004, 6: 0.92, 7: 0.933, 8: 0.927, 9: 1.364, 10: 1.196, 11: 1.214, 12: 0.964}",0.64,earbuds:neckband,0.0723,6,0.2135,True,1,2
