supplier_id,supplier_name,city,state,locality,supplier_type,categories_supplied,payment_terms,credit_days,minimum_order_quantity,bulk_discount_threshold_qty,bulk_discount_percentage,delivery_time_days,reliability_score,price_volatility,preferred_supplier_score,market_weight,products_supplied
SUP013,Horizon Trading Co. 013,Indore,Madhya Pradesh,Indore,wholesaler,accessories|storage_devices,45 days,45,2,7,11.21,3.4,0.953,0.268,0.681,0.7128,PRD00169|PRD00170|PRD00174|PRD00175|PRD00176|PRD00177|PRD00178|PRD00179|PRD00180
SUP014,Metro Infotech 014,Mumbai,Maharashtra,Kurla,authorized_distributor,keyboards,advance,0,1,4,4.49,4.3,0.571,0.0649,0.689,1.4152,PRD00067|PRD00068|PRD00069|PRD00070|PRD00071|PRD00072|PRD00073|PRD00074|PRD00075|PRD00076|PRD00077|PRD00078|PRD00079|PRD00080|PRD00081|PRD00082|PRD00083
SUP015,Horizon Digital World 015,Mumbai,Maharashtra,Andheri East,authorized_distributor,tablets|storage_devices,45 days,45,1,5,7.14,5.0,0.685,0.0181,0.798,0.0993,
SUP016,Suraj Distributors 016,Mumbai,Maharashtra,Vile Parle,wholesaler,monitors|televisions|smartphones,30 days,30,2,11,10.49,8.6,0.682,0.0193,0.751,2.1068,PRD00001|PRD00002|PRD00003|PRD00004|PRD00005|PRD00006|PRD00007|PRD00023|PRD00025|PRD00026|PRD00027|PRD00028|PRD00029|PRD00030|PRD00031
SUP017,United Communications 017,Mumbai,Maharashtra,Powai,wholesaler,headphones|feature_phones|monitors,45 days,45,5,34,9.95,4.1,0.673,0.084,0.76,1.0299,PRD00008|PRD00009|PRD00010|PRD00011|PRD00012|PRD00013|PRD00014|PRD00024|PRD00033|PRD00034|PRD00035|PRD00036|PRD00037|PRD00038|PRD00041|PRD00042|PRD00043
SUP018,Shree Digital World 018,Nashik,Maharashtra,Nashik,importer,ups_devices,0 days (COD),0,5,25,9.74,6.0,0.776,0.0678,0.778,2.6159,PRD00163|PRD00164|PRD00165|PRD00166|PRD00167
SUP019,Shree Impex 019,Mumbai,Maharashtra,Bandra West,local_trader,power_banks|mice|televisions,15 days,15,50,329,11.51,4.8,0.848,0.0264,0.792,8.1245,PRD00025|PRD00026|PRD00027|PRD00028|PRD00029|PRD00030|PRD00031|PRD00084|PRD00085|PRD00086|PRD00087|PRD00088|PRD00089|PRD00090|PRD00091|PRD00092|PRD00093|PRD00094|PRD00102|PRD00103|PRD00104|PRD00105|PRD00106|PRD00107|PRD00108
SUP020,United Retail 020,Pune,Maharashtra,Pune,importer,tablets,0 days (COD),0,50,369,4.84,5.8,0.948,0.0251,0.904,1.8809,PRD00019|PRD00020|PRD00021
SUP021,Andheri Gadget Hub 021,Nagpur,Maharashtra,Nagpur,manufacturer_direct,chargers|smartphones|laptops,30 days,30,10,41,10.49,4.0,0.639,0.073,0.665,1.963,PRD00001|PRD00002|PRD00003|PRD00004|PRD00005|PRD00006|PRD00007|PRD00015|PRD00016|PRD00017|PRD00018|PRD00109|PRD00110|PRD00111|PRD00112|PRD00113|PRD00114|PRD00115|PRD00116|PRD00117|PRD00118|PRD00119|PRD00120
SUP022,Om Digital World 022,Mumbai,Maharashtra,Malad,manufacturer_direct,monitors|webcams|cables,30 days,30,50,302,2.55,2.3,0.752,0.0303,0.813,1.533,PRD00022|PRD00121|PRD00122|PRD00123|PRD00124|PRD00125|PRD00126|PRD00127|PRD00128|PRD00129|PRD00130|PRD00131|PRD00132|PRD00133|PRD00134|PRD00135|PRD00144|PRD00146|PRD00149|PRD00150|PRD00152|PRD00153|PRD00154|PRD00156|PRD00157|PRD00158|PRD00159
SUP023,Royal Retail 023,Mumbai,Maharashtra,Bandra East,local_trader,tablets|laptops|speakers,30 days,30,20,74,7.08,1.5,0.76,0.1206,0.737,5.7887,PRD00015|PRD00016|PRD00017|PRD00018|PRD00019|PRD00020|PRD00021|PRD00062|PRD00063|PRD00064|PRD00065|PRD00066
SUP024,Vasant Distributors 024,Mumbai,Maharashtra,Andheri East,authorized_distributor,keyboards,15 days,15,2,8,7.72,2.0,0.755,0.0102,0.826,0.6932,PRD00067|PRD00068|PRD00069|PRD00070|PRD00071|PRD00072|PRD00073|PRD00075|PRD00076|PRD00077|PRD00078|PRD00079|PRD00080|PRD00082
SUP025,Suraj Communications 025,Mumbai,Maharashtra,Santacruz,importer,headphones|power_banks|speakers,15 days,15,10,54,3.16,3.8,0.77,0.076,0.724,2.6558,PRD00032|PRD00034|PRD00035|PRD00036|PRD00037|PRD00039|PRD00040|PRD00041|PRD00042|PRD00043|PRD00062|PRD00063|PRD00064|PRD00065|PRD00066|PRD00105|PRD00108
SUP026,Shree Solutions 026,Mumbai,Maharashtra,Kandivali,authorized_distributor,chargers,15 days,15,50,398,9.72,2.6,0.924,0.1236,0.791,1.5198,PRD00109|PRD00110|PRD00111|PRD00112|PRD00114|PRD00115|PRD00116|PRD00117|PRD00118|PRD00119|PRD00120
SUP027,Om Technologies 027,Mumbai,Maharashtra,Kurla,importer,headphones|storage_devices,15 days,15,2,6,9.55,8.8,0.704,0.0211,0.737,4.0888,PRD00032|PRD00033|PRD00034|PRD00035|PRD00036|PRD00037|PRD00038|PRD00039|PRD00040|PRD00041|PRD00042|PRD00043|PRD00160|PRD00161|PRD00162|PRD00168|PRD00169|PRD00171|PRD00172|PRD00173
SUP028,Metro Distributors 028,Indore,Madhya Pradesh,Indore,authorized_distributor,routers,30 days,30,5,34,2.58,2.5,0.669,0.0253,0.753,1.8892,PRD00095|PRD00096|PRD00097|PRD00098|PRD00099|PRD00100|PRD00101
SUP029,Silver Trading Co. 029,Mumbai,Maharashtra,Malad,wholesaler,monitors|headphones|keyboards|routers,0 days (COD),0,1,7,6.48,2.6,0.823,0.0641,0.788,0.2716,PRD00032|PRD00033|PRD00038|PRD00039|PRD00040|PRD00067|PRD00069|PRD00070|PRD00071|PRD00072|PRD00073|PRD00074|PRD00076|PRD00077|PRD00078|PRD00079|PRD00081|PRD00082|PRD00083|PRD00095|PRD00096|PRD00097|PRD00098|PRD00099|PRD00100|PRD00101
SUP030,City Solutions 030,Bengaluru,Karnataka,Bengaluru,authorized_distributor,power_banks,15 days,15,5,31,11.7,6.4,0.874,0.0395,0.871,1.2512,PRD00102|PRD00103|PRD00104|PRD00107|PRD00160|PRD00161|PRD00162
