transaction_id,invoice_number,business_id,transaction_timestamp,transaction_date,transaction_time,financial_year,month,quarter,week,day_of_week,customer_id,customer_type,customer_location,product_id,sku,product_name,category,brand,quantity,unit,mrp,selling_price_per_unit,gross_item_value,discount_type,discount_percentage,discount_amount,taxable_value,gst_rate,cgst,sgst,igst,total_tax,subtotal,total_discount,taxable_amount,invoice_total_tax,invoice_total,payment_method,payment_status,amount_paid,amount_outstanding,payment_date,expected_payment_date,actual_payment_date,days_to_payment,overdue_days,unit_purchase_cost_ref,is_returned,return_date
TXN00000012,INV-202605-000007,BIZ0001,2026-05-01T12:28:33,2026-05-01,12:28:33,FY2026-27,5,2,18,Friday,CUS000477,small_business,Malad,PRD00069,SKU-KEY-00069,Solis Wireless Keyboards SO849,keyboards,Solis,6,pcs,1140.0,1098.97,6593.82,negotiated,14.24,938.96,5654.86,18.0,508.94,508.94,0.0,1017.88,6593.82,938.96,5654.86,1017.88,6672.74,cash,paid,6672.74,0.0,2026-05-01,2026-05-01,2026-05-01,0.0,0,867.0067910200805,False,
TXN00000013,INV-202505-000008,BIZ0001,2025-05-23T18:34:27,2025-05-23,18:34:27,FY2025-26,5,2,21,Friday,CUS000844,retail,Borivali,PRD00062,SKU-SPE-00062,Torque Party Speakers TO969,speakers,Torque,1,pcs,3880.0,3593.94,3593.94,clearance,23.77,854.28,2739.66,18.0,246.57,246.57,0.0,493.14,3593.94,854.28,2739.66,493.14,3232.8,cash,paid,3232.8,0.0,2025-05-23,2025-05-23,2025-05-23,0.0,0,2926.7045413584538,False,
TXN00000014,INV-202509-000009,BIZ0001,2025-09-26T14:51:40,2025-09-26,14:51:40,FY2025-26,9,3,39,Friday,CUS000453,small_business,Mulund,PRD00169,SKU-STO-00169,Orbex Pendrive Storage Devices OR985,storage_devices,Orbex,1,pcs,2400.0,1886.17,1886.17,promotional,7.76,146.37,1739.8,12.0,104.39,104.39,0.0,208.78,28954.01,1308.48,27645.53,4871.8,32517.33,bank_transfer,paid,1948.58,0.0,2025-09-26,2025-09-26,2025-09-26,0.0,0,1582.800694788726,False,
TXN00000015,INV-202509-000009,BIZ0001,2025-09-26T14:51:40,2025-09-26,14:51:40,FY2025-26,9,3,39,Friday,CUS000453,small_business,Mulund,PRD00087,SKU-MIC-00087,Ionix Wired Mice IO857,mice,Ionix,1,pcs,5520.0,5182.48,5182.48,none,0.0,0.0,5182.48,18.0,466.42,466.42,0.0,932.84,28954.01,1308.48,27645.53,4871.8,32517.33,bank_transfer,paid,6115.32,0.0,2025-09-26,2025-09-26,2025-09-26,0.0,0,3906.7573649540764,False,
TXN00000016,INV-202509-000009,BIZ0001,2025-09-26T14:51:40,2025-09-26,14:51:40,FY2025-26,9,3,39,Friday,CUS000453,small_business,Mulund,PRD00020,SKU-TAB-00020,Aurex Consumer Tablets AU713,tablets,Aurex,1,pcs,24590.0,21885.36,21885.36,negotiated,5.31,1162.11,20723.25,18.0,1865.09,1865.09,0.0,3730.18,28954.01,1308.48,27645.53,4871.8,32517.33,bank_transfer,paid,24453.43,0.0,2025-09-26,2025-09-26,2025-09-26,0.0,0,18571.923600361537,False,
TXN00000017,INV-202602-000010,BIZ0001,2026-02-11T21:27:00,2026-02-11,21:27:00,FY2025-26,2,1,7,Wednesday,CUS000438,small_business,Indore,PRD00161,SKU-PRI-00161,Aurex All-In-One Printers AU229,printers,Aurex,5,pcs,16890.0,13145.69,65728.46,negotiated,9.3,6112.75,59615.71,18.0,0.0,0.0,10730.83,10730.83,101672.63,11075.09,90597.54,16307.56,106905.1,UPI,paid,70346.54,0.0,2026-02-11,2026-02-11,2026-02-11,0.0,0,11268.383215639258,False,
TXN00000018,INV-202602-000010,BIZ0001,2026-02-11T21:27:00,2026-02-11,21:27:00,FY2025-26,2,1,7,Wednesday,CUS000438,small_business,Indore,PRD00044,SKU-EAR-00044,Zenith Neckband Earbuds ZE358,earbuds,Zenith,2,pcs,5610.0,4613.45,9226.89,clearance,10.0,922.69,8304.2,18.0,0.0,0.0,1494.76,1494.76,101672.63,11075.09,90597.54,16307.56,106905.1,UPI,paid,9798.96,0.0,2026-02-11,2026-02-11,2026-02-11,0.0,0,3959.848946249351,False,
TXN00000019,INV-202602-000010,BIZ0001,2026-02-11T21:27:00,2026-02-11,21:27:00,FY2025-26,2,1,7,Wednesday,CUS000438,small_business,Indore,PRD00023,SKU-MON-00023,Uplink Gaming Monitors UP947,monitors,Uplink,1,pcs,26900.0,26717.28,26717.28,negotiated,15.12,4039.65,22677.63,18.0,0.0,0.0,4081.97,4081.97,101672.63,11075.09,90597.54,16307.56,106905.1,UPI,paid,26759.6,0.0,2026-02-11,2026-02-11,2026-02-11,0.0,0,23534.73883048801,False,
TXN00000020,INV-202601-000011,BIZ0001,2026-01-23T19:03:19,2026-01-23,19:03:19,FY2025-26,1,1,4,Friday,CUS000493,small_business,Mulund,PRD00128,SKU-CAB-00128,Jetstream Hdmi Cables JE889,cables,Jetstream,12,pcs,970.0,751.37,9016.42,promotional,4.33,390.41,8626.01,12.0,517.56,517.56,0.0,1035.12,145751.53,2250.32,143501.21,25312.66,168813.87,cash,paid,9661.13,0.0,2026-01-25,2026-01-23,2026-01-25,2.0,0,427.64398030449325,False,
TXN00000021,INV-202601-000011,BIZ0001,2026-01-23T19:03:19,2026-01-23,19:03:19,FY2025-26,1,1,4,Friday,CUS000493,small_business,Mulund,PRD00087,SKU-MIC-00087,Ionix Wired Mice IO857,mice,Ionix,1,pcs,5520.0,5218.74,5218.74,small,3.13,163.35,5055.39,18.0,454.99,454.99,0.0,909.98,145751.53,2250.32,143501.21,25312.66,168813.87,cash,paid,5965.37,0.0,2026-01-25,2026-01-23,2026-01-25,2.0,0,3773.4372193092463,False,
TXN00000022,INV-202601-000011,BIZ0001,2026-01-23T19:03:19,2026-01-23,19:03:19,FY2025-26,1,1,4,Friday,CUS000493,small_business,Mulund,PRD00003,SKU-SMA-00003,Ionix Budget Smartphones IO781,smartphones,Ionix,3,pcs,56280.0,43838.79,131516.37,small,1.29,1696.56,129819.81,18.0,11683.78,11683.78,0.0,23367.56,145751.53,2250.32,143501.21,25312.66,168813.87,cash,paid,153187.37,0.0,2026-01-25,2026-01-23,2026-01-25,2.0,0,40550.232953081526,False,
TXN00000023,INV-202505-000012,BIZ0001,2025-05-23T20:01:11,2025-05-23,20:01:11,FY2025-26,5,2,21,Friday,CUS000085,retail,Delhi,PRD00078,SKU-KEY-00078,Bravado Wireless Keyboards BR740,keyboards,Bravado,2,pcs,3860.0,2996.39,5992.78,promotional,7.43,445.26,5547.52,18.0,0.0,0.0,998.55,998.55,7981.55,613.31,7368.24,1326.28,8694.52,cash,paid,6546.07,0.0,2025-05-23,2025-05-23,2025-05-23,0.0,0,2230.0558902527487,False,
TXN00000024,INV-202505-000012,BIZ0001,2025-05-23T20:01:11,2025-05-23,20:01:11,FY2025-26,5,2,21,Friday,CUS000085,retail,Delhi,PRD00146,SKU-WEB-00146,Xenon Hd Webcams XE638,webcams,Xenon,1,pcs,2070.0,1988.77,1988.77,promotional,8.45,168.05,1820.72,18.0,0.0,0.0,327.73,327.73,7981.55,613.31,7368.24,1326.28,8694.52,cash,paid,2148.45,0.0,2025-05-23,2025-05-23,2025-05-23,0.0,0,1705.6444227898055,False,
TXN00000025,INV-202512-000013,BIZ0001,2025-12-20T18:32:27,2025-12-20,18:32:27,FY2025-26,12,4,51,Saturday,CUS000760,small_business,Borivali,PRD00134,SKU-CAB-00134,Aurex Aux Cables AU418,cables,Aurex,15,pcs,280.0,228.52,3427.76,clearance,19.04,652.65,2775.11,12.0,166.51,166.51,0.0,333.02,18485.95,652.65,17833.3,3043.5,20876.8,credit,paid,3108.13,0.0,2026-01-03,2026-01-04,2026-01-03,14.0,0,131.1525139802631,False,
TXN00000026,INV-202512-000013,BIZ0001,2025-12-20T18:32:27,2025-12-20,18:32:27,FY2025-26,12,4,51,Saturday,CUS000760,small_business,Borivali,PRD00064,SKU-SPE-00064,Uplink Home Speakers UP302,speakers,Uplink,7,pcs,2700.0,2151.17,15058.19,none,0.0,0.0,15058.19,18.0,1355.24,1355.24,0.0,2710.48,18485.95,652.65,17833.3,3043.5,20876.8,credit,paid,17768.67,0.0,2026-01-03,2026-01-04,2026-01-03,14.0,0,1739.2996784115694,False,
TXN00000027,INV-202603-000014,BIZ0001,2026-03-30T14:27:02,2026-03-30,14:27:02,FY2025-26,3,1,14,Monday,CUS000659,small_business,Chembur,PRD00041,SKU-HEA-00041,Kyra Wired Headphones KY458,headphones,Kyra,3,pcs,1990.0,1823.28,5469.83,small,2.38,130.18,5339.65,18.0,480.57,480.57,0.0,961.14,93958.2,1953.04,92005.16,16560.94,108566.1,bank_transfer,paid,6300.79,0.0,2026-03-30,2026-03-30,2026-03-30,0.0,0,1446.8336050323785,False,
TXN00000028,INV-202603-000014,BIZ0001,2026-03-30T14:27:02,2026-03-30,14:27:02,FY2025-26,3,1,14,Monday,CUS000659,small_business,Chembur,PRD00065,SKU-SPE-00065,Torque Portable Speakers TO140,speakers,Torque,7,pcs,12520.0,12641.2,88488.37,small,2.06,1822.86,86665.51,18.0,7799.9,7799.9,0.0,15599.8,93958.2,1953.04,92005.16,16560.94,108566.1,bank_transfer,paid,102265.31,0.0,2026-03-30,2026-03-30,2026-03-30,0.0,0,10632.986189207273,False,
TXN00000029,INV-202507-000015,BIZ0001,2025-07-02T18:20:30,2025-07-02,18:20:30,FY2025-26,7,3,27,Wednesday,CUS000760,small_business,Borivali,PRD00023,SKU-MON-00023,Uplink Gaming Monitors UP947,monitors,Uplink,1,pcs,26900.0,26166.78,26166.78,negotiated,9.79,2561.73,23605.05,18.0,2124.45,2124.45,0.0,4248.9,26166.78,2561.73,23605.05,4248.9,27853.95,credit,paid,27853.95,0.0,2025-07-27,2025-07-17,2025-07-27,25.0,10,22829.168824963235,False,
TXN00000030,INV-202606-000016,BIZ0001,2026-06-30T10:00:00,2026-06-30,10:00:00,FY2026-27,6,2,27,Tuesday,CUS000290,retail,Bengaluru,PRD00044,SKU-EAR-00044,Zenith Neckband Earbuds ZE358,earbuds,Zenith,2,pcs,5610.0,4686.13,9372.26,small,0.93,87.16,9285.1,18.0,0.0,0.0,1671.32,1671.32,9372.26,87.16,9285.1,1671.32,10956.42,credit_card,paid,10956.42,0.0,2026-06-30,2026-06-30,2026-06-30,0.0,0,4033.6001192486965,False,
TXN00000031,INV-202511-000017,BIZ0001,2025-11-09T18:31:35,2025-11-09,18:31:35,FY2025-26,11,4,45,Sunday,CUS000621,small_business,Goregaon,PRD00053,SKU-EAR-00053,Blitzo Tws Earbuds BL635,earbuds,Blitzo,2,pcs,14820.0,15130.01,30260.02,negotiated,6.14,1857.97,28402.05,18.0,2556.18,2556.18,0.0,5112.36,47759.33,4353.37,43405.96,7813.06,51219.02,UPI,paid,33514.41,0.0,2025-11-10,2025-11-09,2025-11-10,1.0,0,12901.07954093549,False,
TXN00000032,INV-202511-000017,BIZ0001,2025-11-09T18:31:35,2025-11-09,18:31:35,FY2025-26,11,4,45,Sunday,CUS000621,small_business,Goregaon,PRD00006,SKU-SMA-00006,Griplex Flagship Smartphones GR315,smartphones,Griplex,1,pcs,21180.0,17499.31,17499.31,negotiated,14.26,2495.4,15003.91,18.0,1350.35,1350.35,0.0,2700.7,47759.33,4353.37,43405.96,7813.06,51219.02,UPI,paid,17704.61,0.0,2025-11-10,2025-11-09,2025-11-10,1.0,0,17097.080507258255,False,
TXN00000033,INV-202602-000018,BIZ0001,2026-02-26T18:22:47,2026-02-26,18:22:47,FY2025-26,2,1,9,Thursday,CUS000986,retail,Pune,PRD00017,SKU-LAP-00017,Ridgeline Ultrabook Laptops RI307,laptops,Ridgeline,1,pcs,23290.0,23664.9,23664.9,small,3.41,806.97,22857.93,18.0,2057.21,2057.21,0.0,4114.42,38776.95,829.41,37947.54,6778.24,44725.78,cash,paid,26972.35,0.0,2026-02-26,2026-02-26,2026-02-26,0.0,0,20973.408777230947,False,
TXN00000034,INV-202602-000018,BIZ0001,2026-02-26T18:22:47,2026-02-26,18:22:47,FY2025-26,2,1,9,Thursday,CUS000986,retail,Pune,PRD00180,SKU-ACC-00180,Delta Wave Screen-Guards Accessories DE300,accessories,Delta Wave,3,pcs,320.0,290.55,871.66,none,0.0,0.0,871.66,12.0,52.3,52.3,0.0,104.6,38776.95,829.41,37947.54,6778.24,44725.78,cash,paid,976.26,0.0,2026-02-26,2026-02-26,2026-02-26,0.0,0,177.62573783512823,False,
TXN00000035,INV-202602-000018,BIZ0001,2026-02-26T18:22:47,2026-02-26,18:22:47,FY2025-26,2,1,9,Thursday,CUS000986,retail,Pune,PRD00164,SKU-UPS-00164,Torque Line-Interactive Ups Devices TO828,ups_devices,Torque,1,pcs,12520.0,9753.13,9753.13,none,0.0,0.0,9753.13,18.0,877.78,877.78,0.0,1755.56,38776.95,829.41,37947.54,6778.24,44725.78,cash,paid,11508.69,0.0,2026-02-26,2026-02-26,2026-02-26,0.0,0,9027.29999422385,False,
TXN00000036,INV-202602-000018,BIZ0001,2026-02-26T18:22:47,2026-02-26,18:22:47,FY2025-26,2,1,9,Thursday,CUS000986,retail,Pune,PRD00142,SKU-SMA-00142,Quanta Classic Smartwatches QU306,smartwatches,Quanta,1,pcs,5520.0,4487.26,4487.26,small,0.5,22.44,4464.82,18.0,401.83,401.83,0.0,803.66,38776.95,829.41,37947.54,6778.24,44725.78,cash,paid,5268.48,0.0,2026-02-26,2026-02-26,2026-02-26,0.0,0,3825.7554150313144,False,
TXN00000037,INV-202509-000019,BIZ0001,2025-09-18T18:54:20,2025-09-18,18:54:20,FY2025-26,9,3,38,Thursday,CUS000985,small_business,Dadar,PRD00134,SKU-CAB-00134,Aurex Aux Cables AU418,cables,Aurex,3,pcs,280.0,221.81,665.44,promotional,12.63,84.05,581.39,12.0,34.88,34.88,0.0,69.76,45526.04,154.24,45371.8,8132.04,53503.84,bank_transfer,paid,651.15,0.0,2025-09-18,2025-09-18,2025-09-18,0.0,0,132.78389575866092,False,
TXN00000038,INV-202509-000019,BIZ0001,2025-09-18T18:54:20,2025-09-18,18:54:20,FY2025-26,9,3,38,Thursday,CUS000985,small_business,Dadar,PRD00020,SKU-TAB-00020,Aurex Consumer Tablets AU713,tablets,Aurex,2,pcs,24590.0,22039.03,44078.06,none,0.0,0.0,44078.06,18.0,3967.03,3967.03,0.0,7934.06,45526.04,154.24,45371.8,8132.04,53503.84,bank_transfer,paid,52012.12,0.0,2025-09-18,2025-09-18,2025-09-18,0.0,0,18783.72268502336,False,
TXN00000039,INV-202509-000019,BIZ0001,2025-09-18T18:54:20,2025-09-18,18:54:20,FY2025-26,9,3,38,Thursday,CUS000985,small_business,Dadar,PRD00085,SKU-MIC-00085,Delta Wave Gaming Mice DE387,mice,Delta Wave,2,pcs,510.0,391.27,782.54,negotiated,8.97,70.19,712.35,18.0,64.11,64.11,0.0,128.22,45526.04,154.24,45371.8,8132.04,53503.84,bank_transfer,paid,840.57,0.0,2025-09-18,2025-09-18,2025-09-18,0.0,0,296.47665525627775,False,
TXN00000040,INV-202505-000020,BIZ0001,2025-05-15T12:41:06,2025-05-15,12:41:06,FY2025-26,5,2,20,Thursday,CUS000617,small_business,Dadar,PRD00100,SKU-ROU-00100,Ionix Mesh Routers IO526,routers,Ionix,1,pcs,2500.0,2362.16,2362.16,promotional,8.25,194.88,2167.28,18.0,195.06,195.06,0.0,390.12,32600.71,1966.31,30634.4,5348.56,35982.96,credit,paid,2557.4,0.0,2025-07-14,2025-06-29,2025-07-14,60.0,15,2021.2474077913118,False,
TXN00000041,INV-202505-000020,BIZ0001,2025-05-15T12:41:06,2025-05-15,12:41:06,FY2025-26,5,2,20,Thursday,CUS000617,small_business,Dadar,PRD00017,SKU-LAP-00017,Ridgeline Ultrabook Laptops RI307,laptops,Ridgeline,1,pcs,23290.0,23138.88,23138.88,promotional,3.0,694.17,22444.71,18.0,2020.02,2020.02,0.0,4040.04,32600.71,1966.31,30634.4,5348.56,35982.96,credit,paid,26484.75,0.0,2025-07-14,2025-06-29,2025-07-14,60.0,15,20212.352057916418,False,
TXN00000042,INV-202505-000020,BIZ0001,2025-05-15T12:41:06,2025-05-15,12:41:06,FY2025-26,5,2,20,Thursday,CUS000617,small_business,Dadar,PRD00134,SKU-CAB-00134,Aurex Aux Cables AU418,cables,Aurex,14,pcs,280.0,217.59,3046.28,negotiated,9.38,285.74,2760.54,12.0,165.63,165.63,0.0,331.26,32600.71,1966.31,30634.4,5348.56,35982.96,credit,paid,3091.8,0.0,2025-07-14,2025-06-29,2025-07-14,60.0,15,127.95899771130789,False,
TXN00000043,INV-202505-000020,BIZ0001,2025-05-15T12:41:06,2025-05-15,12:41:06,FY2025-26,5,2,20,Thursday,CUS000617,small_business,Dadar,PRD00073,SKU-KEY-00073,Bravado Membrane Keyboards BR463,keyboards,Bravado,1,pcs,2180.0,1994.64,1994.64,clearance,34.14,680.97,1313.67,18.0,118.23,118.23,0.0,236.46,32600.71,1966.31,30634.4,5348.56,35982.96,credit,paid,1550.13,0.0,2025-07-14,2025-06-29,2025-07-14,60.0,15,1525.3436368799105,False,
TXN00000044,INV-202505-000020,BIZ0001,2025-05-15T12:41:06,2025-05-15,12:41:06,FY2025-26,5,2,20,Thursday,CUS000617,small_business,Dadar,PRD00163,SKU-UPS-00163,Novak Line-Interactive Ups Devices NO592,ups_devices,Novak,1,pcs,2640.0,2058.75,2058.75,promotional,5.37,110.55,1948.2,18.0,175.34,175.34,0.0,350.68,32600.71,1966.31,30634.4,5348.56,35982.96,credit,paid,2298.88,0.0,2025-07-14,2025-06-29,2025-07-14,60.0,15,1851.6669993383587,False,
TXN00000045,INV-202604-000021,BIZ0001,2026-04-16T18:12:03,2026-04-16,18:12:03,FY2026-27,4,2,16,Thursday,CUS000408,small_business,Dadar,PRD00100,SKU-ROU-00100,Ionix Mesh Routers IO526,routers,Ionix,1,pcs,2500.0,2440.04,2440.04,negotiated,8.96,218.63,2221.41,18.0,199.93,199.93,0.0,399.86,26391.6,1101.59,25290.01,4552.22,29842.23,credit,paid,2621.27,0.0,2026-05-30,2026-05-16,2026-05-30,44.0,14,2132.20949629103,False,
TXN00000046,INV-202604-000021,BIZ0001,2026-04-16T18:12:03,2026-04-16,18:12:03,FY2026-27,4,2,16,Thursday,CUS000408,small_business,Dadar,PRD00117,SKU-CHA-00117,Flux Car Chargers FL540,chargers,Flux,10,pcs,1150.0,1059.5,10594.96,none,0.0,0.0,10594.96,18.0,953.55,953.55,0.0,1907.1,26391.6,1101.59,25290.01,4552.22,29842.23,credit,paid,12502.06,0.0,2026-05-30,2026-05-16,2026-05-30,44.0,14,791.7419075429406,False,
TXN00000047,INV-202604-000021,BIZ0001,2026-04-16T18:12:03,2026-04-16,18:12:03,FY2026-27,4,2,16,Thursday,CUS000408,small_business,Dadar,PRD00021,SKU-TAB-00021,Circuitry Education Tablets CI347,tablets,Circuitry,1,pcs,9070.0,7253.46,7253.46,small,2.32,168.28,7085.18,18.0,637.67,637.67,0.0,1275.34,26391.6,1101.59,25290.01,4552.22,29842.23,credit,paid,8360.52,0.0,2026-05-30,2026-05-16,2026-05-30,44.0,14,6801.801503590916,False,
TXN00000048,INV-202604-000021,BIZ0001,2026-04-16T18:12:03,2026-04-16,18:12:03,FY2026-27,4,2,16,Thursday,CUS000408,small_business,Dadar,PRD00166,SKU-UPS-00166,Torque Online Ups Devices TO336,ups_devices,Torque,1,pcs,7650.0,6103.14,6103.14,negotiated,11.71,714.68,5388.46,18.0,484.96,484.96,0.0,969.92,26391.6,1101.59,25290.01,4552.22,29842.23,credit,paid,6358.38,0.0,2026-05-30,2026-05-16,2026-05-30,44.0,14,5188.258126436178,False,
TXN00000049,INV-202504-000022,BIZ0001,2025-04-23T10:48:56,2025-04-23,10:48:56,FY2025-26,4,2,17,Wednesday,CUS000832,small_business,Kurla,PRD00095,SKU-ROU-00095,Zolt Enterprise Routers ZO712,routers,Zolt,1,pcs,1040.0,779.24,779.24,small,1.25,9.74,769.5,18.0,69.25,69.25,0.0,138.5,25129.42,1636.55,23492.87,4167.64,27660.51,credit,paid,908.0,0.0,2025-06-25,2025-05-23,2025-06-25,63.0,33,698.2131484760088,False,
TXN00000050,INV-202504-000022,BIZ0001,2025-04-23T10:48:56,2025-04-23,10:48:56,FY2025-26,4,2,17,Wednesday,CUS000832,small_business,Kurla,PRD00017,SKU-LAP-00017,Ridgeline Ultrabook Laptops RI307,laptops,Ridgeline,1,pcs,23290.0,23291.73,23291.73,negotiated,6.81,1586.17,21705.56,18.0,1953.5,1953.5,0.0,3907.0,25129.42,1636.55,23492.87,4167.64,27660.51,credit,paid,25612.56,0.0,2025-06-25,2025-05-23,2025-06-25,63.0,33,20600.586264006273,False,
TXN00000051,INV-202504-000022,BIZ0001,2025-04-23T10:48:56,2025-04-23,10:48:56,FY2025-26,4,2,17,Wednesday,CUS000832,small_business,Kurla,PRD00121,SKU-CAB-00121,Enzo Aux Cables EN654,cables,Enzo,4,pcs,260.0,264.61,1058.45,small,3.84,40.64,1017.81,12.0,61.07,61.07,0.0,122.14,25129.42,1636.55,23492.87,4167.64,27660.51,credit,paid,1139.95,0.0,2025-06-25,2025-05-23,2025-06-25,63.0,33,160.30962045548216,False,
